好的，这是您要的播客音频转录内容：

[00:00:00] (开场音乐)
[23:25:70] 到今年我估计啊2.4左右。
[23:28:90] 户均人口不断地在下降的。
[23:30:90] 所以不论是生孩子的还是就是三口之家还是两个人的家庭，其实都越来越少。
[23:36:60] 大概有四分之一的人现在是单身户口。
[23:38:70] 这个在新中国历史上是第一次出现，就是年轻人现在就是也不愿意结婚，对，然后自己一个户口就挺好。
[23:45:60] [主播]：我记得好像在哪里看到一个数据说其实反正每种形式的家庭都不是主流了，比如说一个人的家庭是四分之一嘛。
[23:52:80] 所谓的核家庭，就是夫妻两个没有孩子丁克的那种，它又占四分之一。
[23:57:00] [嘉宾]：对。
[23:57:38] [主播]：然后呢。
[23:57:70] [嘉宾]：三口之家。
[23:58:10] [主播]：对对对，然后三口之家对吧，也是四分之一，然后呢，就是跟父母住在一起，他可能又占，就是它每个形式它都没有任何主流了，都占这么一小部分。
[24:06:90] [嘉宾]：对。

[24:08:00] [主播]：刚才温老师介绍的时候我就会在想说，既然他这个婚姻制度在以前也是非常的反天性的，但是他就可以存续这么久。
[24:16:00] 现在发生了变化，究竟是因为什么？是因为包括你刚才前面说的这个文明程度的发展。
[24:22:70] 我觉得可能还有一个很重要的原因还是说大家的闲暇时间太少了。
[24:26:40] 你没有那么多的闲暇来去蕴酿或者是碰撞出那种浪漫爱，然后导致一个婚姻有可能达成。
[24:34:40] [主播]：其实我觉得婚姻制度他从纯策略的角度来说，并不是一个很差的策略呀。
[24:40:00] 因为首先对男性来说，虽然你说你阻碍了传播基因更广的这个天性，但是你在另一方面是有收获的，那就是你有更大的可能性确保这个孩子是自己的。
[24:49:80] 因为是一夫一妻。
[24:51:00] [嘉宾]：对，对男性更大的优势不是这个，对男性更大的优势在于如果没有一夫一妻制，会有大量的男性终身取不到。
[24:58:60] [主播]：就跟海豹似的。
[24:59:75] [主播]：一直海豹有几百只老婆，就只有他一个人。
[25:02:85] [嘉宾]：对对对。
[25:03:00] 其实封建的时候，大部分的时候，很多就是男性他就是没有这个资源。
[25:07:90] [主播]：那我觉得是如果真的从进化策略上来说，一夫一妻省了大家很多事嘛。
[25:13:30] 因为如果你不是一夫一妻的死性规定的话，其实两性都要发展出很多的策略来应对这个事情。
[25:19:50] 比如说男性就是传不基因嘛，对不对。
[25:21:80] 然后那女性肯定，我除了传不基因之外我得保证我这个基因活下来嘛，我的小孩能活下来。
[25:26:60] 那我就要确保我要得到足够的资源来养这个小孩，否则的话我为什么要跟你生这个小孩呢？
[25:32:00] 那么女性肯定要发展出他的生存策略，所以他的策略就有这么几个。
[25:36:10] 第一是你事先把资源交给我，收取彩礼。
[25:39:00] [主播]：收彩礼。
[25:39:70] [嘉宾]：那。
[25:40:10] [主播]：那就是这样的，因为你知道。
[25:41:60] [嘉宾]：我彩礼我稍微差一句啊，就是彩礼这个事情我还做过一个专题的研究。
[25:46:00] 在中国的唐宋之前，其实彩礼是不流行的。
[25:49:70] 就是而且唐宋之前的女性的婚取的开放程度是远超我们想象的。
[25:54:00] 你知道唐朝包括贵族像公主这些，他找一个男宠啊，或者再嫁再婚之类的，就完全不是事，就完全不受到这种传统儒教的束缚和绑架。
[26:04:00] 一直到宋朝听起来好像这个李教大房变得更严格了，但实际上也在民间没有后面明清那么严重。
[26:11:50] [主播]：那他们的小孩怎么养呢？就是他们小孩的谁富有赡养责任呢？
[26:16:60] [嘉宾]：这个事情的来源，我们先摸清楚。
[26:19:00] 实际上是因为在元代的时候产生了一个重大的转折。
[26:23:40] 就是从蒙古人开始统治中国的时候，会产生这样的习俗，是因为蒙古的第四季风尘土壤里面的微量元素非常的少。
[26:33:00] 所以导致当地的女性在分娩过程中的死亡率非常的高。
[26:38:50] 环境中没有微量元素的话，人体内会缺锌啊，缺铁啊，这些东西是在分娩过程中非常容易导致死亡的这个问题。
[26:46:00] [主播]：所以是鼓励女性开放。
[26:47:90] [嘉宾]：他不是鼓励女性开放，他是在这样的环境之中，女性就成为了一个稀缺资源。
[26:53:00] 然后他被污化了，它涉及到一个总群的生存攸关的问题之后，他就发展出了我们现在的伦理里面觉得很离谱的一些东西，比如说。
[27:02:80] [主播]：继承。
[27:03:40] [嘉宾]：继承。
[27:03:90] 就孩子继承父亲的女人，弟继承哥哥的女人。
[27:08:00] 然后当你去娶一个女人的时候，实际上你去给他一笔钱，就是所谓的彩礼，实际上是买他的三大权利，叫人生权、抚养权和财物权。
[27:18:00] 就是人生权，他自己的人生权，然后抚养权是孩子的归属。
[27:22:50] 他的物权就是财富权，其实在唐朝的时候，比如说你离婚的时候，你可以把嫁妆带走。
[27:28:50] 哪怕你被休了，你这个钱其实还你自己的。
[27:31:00] 就法律上面规定，但是从元以后，所有的这些他的自主性，他的孩子的拥有的这个权利和他的物权全部都消失了，女性彻底变成了一个被污化的对象。
[27:43:00] 到解放之后，我们当时调研了内蒙古的大概三四个棋，仍然是有大概140多比100的男女比例。
[27:52:00] 意味着女性对男性的人数绝对在劣势，就是因为分娩的死亡率太高。
[27:58:30] [主播]：所以一个社会的男女比例，它的差距越大，实际上首先女性肯定是稀缺的。
[28:04:00] 关键的区别就在于说女性是稀缺，所以给予你自由选择权，还是女性是稀缺的时候，永远都是物化的结果。
[28:11:00] 那我们的结论就是，如果这个比例越来越高，那这个社会的厌女情结和女性的压榨会越来越严重。
[28:20:00] 根据历史来看是这样的。
[28:20:90] [嘉宾]：对。
[28:21:80] [主播]：对，当他拉到一个这么如此离谱的地步，以及蒙古他们到现在都不会补充微量元素吗？
[28:27:00] [嘉宾]：历史遗留问题。
[28:27:85] [嘉宾]：新中国建立的时候。
[28:29:70] [主播]：OK。
[28:30:10] [嘉宾]：是这样的一个，一个数据。
[28:31:90] [主播]：那所以我们倒推一下，就是在曾经一度因为计划生育的政策，你要能生的孩子有限，所以大家在博男胎的时候就会放弃很多女性出生的机会。
[28:44:00] 所以这个男女比例就会非常失衡。
[28:46:60] [嘉宾]：现在男女比例是相对比较均衡的，大概107到110比100。
[28:53:00] 男性是始终是生物学上任何一个社会生物学上男性都会多，因为男性在繁衍前的死亡率还比女性要高很多。
[28:59:80] [主播]：那我们可以根据历史看到一个趋势是历史上但凡这个比例提高了，女性物化的情况就会严重。
[29:06:00] 一旦这个比例降低了，女性物化的情况就会缓解。
[29:09:80] [嘉宾]：应该说在比如说在中国的一些省份，我不提名字，就是彩礼大省，实际上就是你应大省，就是刚才说的就是你说的有一些女孩子生出来他可能就被抹杀掉了。
[29:22:90] [主播]：我记得好像确实是在哪里读到过说，你看到历史上所对应的，不光光是我们中国，就是你看到历史上所对应的女性主义的黑暗时刻都对应着高男女比例。
[29:34:00] [嘉宾]：对，没错。
[29:35:50] [嘉宾]：上你们节目之后，我常常要自省在哪一些时刻，我是在污化女性或者污化男性。
[29:40:70] [主播]：后来发现你污化everything。
[29:42:00] [嘉宾]：后来我发现我每天都在污化。
[29:44:00] [嘉宾]：所以就干脆拉倒了，没办法，这个就是工作的。
[29:47:00] [主播]：然后你刚才有讲说女性的几个策略嘛，第一个就是比如说。
[29:50:80] [嘉宾]：对，第一个就是其实你要先给我资源呢，其实自然界的动物也是这样，就是你要先给我建个窝，有一些动物是你需要先给我补多少多少的猎物，补满了，我才开始生崽的。
[30:02:10] 就是这其实就是雌性所发展出来的一种生意策略。
[30:06:00] 第二种策略呢，这种叫什么幸福家庭策略，意思就是说我要找一个忠诚的男人。
[30:11:00] 然这是第一种是资源嘛，就你也不一定有这么多资源，而且资源又存不住对吧。
[30:14:00] 然后在我的整个怀孕或者是七八岁的孩子的抚育过程中，你不可能一下子存这么多的资源给我，这个是不可行的策略。
[30:21:80] 所以第二种策略是我将要看你追求我的长度。
[30:24:60] 这就是为什么女性会要矜持，我小时候非常不屑于这个传统的智慧。
[30:30:10] 我想怎样就怎样，我才不管要不要矜持。
[30:32:80] 但实际上你换个角度想，矜持是一种女性的择偶策略。
[30:36:70] 就是你必须得等一段时间，等到足够的长，然后那些花心的，他不会再愿意把所有的机会浪费在你的身上。
[30:43:80] 他肯定会去追求那些更容易到手的雌性了。
[30:47:40] 你看到这个雄性愿意跟着你很长时间就说明他是相对来说幸福家庭型的雄性。
[30:53:50] 所以就是说雄性追求的时候你不能马上答应，你可能比如说假设啊，等一年，你其实在这一年中你已经对他很满意了，但是你必须得等足一年，在一年之后才给出你一个明确的答复，因为你要看他一年之后还在不在。
[31:05:40] [嘉宾]：老话叫考察考察你。
[31:07:00] [主播]：考察考察，对。
[31:07:60] [嘉宾]：所以就是说女性在被追求的过程中非常的矜持是完全OK的。
[31:11:50] 并且其实我现在能够理解为什么女性非常讨厌别人不矜持。
[31:16:00] [嘉宾]：他会破坏行情。
[31:16:30] [主播]：本来这是一个自由选自由选择嘛，那倒也不是完全破坏行情，就是说当这样的女性的比例增加的时候呢，男性群体中的不忠诚比例会显著的增加。
[31:26:50] 他是一个吞噬的过程。
[31:28:30] [嘉宾]：剥削的过程。
[31:28:70] [主播]：他不是把城市的忠诚的人转化成了不忠诚，并不是我们想象的说你引诱多了以后，本来是忠诚的，我就不忠诚了，不是的是你哪个策略它成功的话，那个策略的基因会得到传播。
[31:41:00] 这是不忠诚的基因会得到传播，忠诚的基因它得不到女的，因为他要等。
[31:45:00] 不忠诚的基因就是不用等就马上传播了。
[31:47:00] [主播]：啊，所以到付羞辱其实是基因的一个指令了。
[31:50:00] [嘉宾]：是的是的。
[31:51:30] [主播]：嗯。
[31:51:40] [嘉宾]：然后呢，所以就是我们希望我们这个群体中的叫做easy going的雌性的个体必须得保持在一个小比例之内。
[31:59:70] 如果你一旦超过这个比例的话，那么这个社群即将倾倒上不忠诚的男性，就是你会明显看到这个不忠诚的男性的数量就马上增高了。
[32:07:00] 这是第二种策略，就是我要根据忠诚度来筛选。
[32:10:00] 然后呢，第三种策略是我完全放弃。
[32:12:80] [嘉宾]：你如果我没有办法保证雄性会呆在这里抚育孩子，然后我已经认命就是这个孩子一定是我抚育的。
[32:19:40] 但是好处就在于这孩子完全属于我。
[32:21:80] [主播]：嗯。
[32:22:40] [嘉宾]：然后呢，所以这个策略下呢，它就会转向另外一种叫做最佳基因。
[32:26:90] 我不再选择资源，我选择的是基因本身。
[32:29:80] [主播]：就是现在流行的趋夫流子是吗？
[32:32:40] [嘉宾]：不是趋夫流子，是我选基因的时候我一定要选我能看到的最好的基因的后代，因为我已就我不需要男人养孩子了，那我肯定是要找到这个男人世上最佳的基因，那就是容貌，身材，健康，智商，所有的你能够看出来的一切。
[32:46:10] [嘉宾]：你知道那个孔雀，它为什么那么大个尾巴开屏，然后去展示它的美丽？
[32:51:30] 按道理说这个在自然界当中是很不利的。
[32:54:70] [主播]：很危险。
[32:55:00] [嘉宾]：对啊。
[32:55:50] 它实际上就是在展示一个就是我拖着这么大的累赘也能活。
[33:00:00] [主播]：啊。
[33:00:40] [嘉宾]：所以我很强。
[33:01:40] [主播]：我的基因很值得传播。
[33:02:60] [嘉宾]：对，然后包括那个羚羊它有有很大的脚，它明明是不利的，因为你在被追捕的过程当中，你挥着很大的累赘你很容易被抓住。
[33:11:00] [主播]：嗯。
[33:11:20] [嘉宾]：它说我都带着这么重的镣铐我都能活，所以我很强。
[33:15:60] 这个思宾赛的信号理论，这是一个经济学理论。
[33:18:00] [主播]：就是为什么自然界传都是雄性发展出好看的羽毛啊，颜色呀，脚啊，装饰啊，全是。
[33:24:00] [嘉宾]：人类怎么回事？
[33:25:70] [主播]：嗯，人类现在也有这个趋势。
[33:27:00] [嘉宾]：现在。
[33:27:70] [主播]：现在男生问卷起来。
[33:29:40] [嘉宾]：对，所以。
[33:29:70] [主播]：然后欢迎男色经济。
[33:31:00] [嘉宾]：人类就是好在他直接就可以量化，就财富上面的，对，就是。
[33:37:00] [主播]：但，但是就是说自然界中对美貌的筛选完全是符合进化原则的嘛。
[33:41:80] 动物眼中的美貌，它其实就是基因强健的代表，可是人类不是啊。
[33:47:00] 人类的美貌是受一方面受基因，但是另一方面受文化的影响啊。
[33:51:00] 这是社会的塑造。
[33:52:60] [嘉宾]：美貌就是。
[33:53:00] [主播]：嗯。
[33:53:40] [嘉宾]：是的是的。
[33:55:60] [主播]：所以你看从进化的角度来说，我就理解不了薄肌。
[33:58:20] 他进化的角度来说，他肯定不如真正好用的肌肉。
[34:03:00] [主播]：那你是不是不选那种少年感？
[34:05:00] [嘉宾]：没有，我我我纯粹是好奇。
[34:06:50] [主播]：好奇。
[34:07:00] [嘉宾]：对对对，就是你你就想说这个审美潮流它是怎么来的，它显然不是一个基因的推动，因为基因只推动使用。
[34:15:00] 就是我要的既不是那种大的，也不是那种薄的，我要的是你这个肌肉真的有例，其实很多大的肌肉的没有力量。
[34:21:00] 我们要看的是肌肉的strength，就是那个肌肉的能量，其实这个是我们真正追求使用性的，那使用性的这个身材看起来没有这两种好看。
[34:29:70] 所以它显然不是一个基因使用性的追求。
[34:33:00] 那么这两种美貌的标者是从哪里来的呢？它一定是某种潮流规范营销社会给我们的。
[34:40:00] [嘉宾]：对。
[34:40:20] [主播]：可能就跟孔雀一样，你看我这个样子，我也能活得挺好，说明我在其他地方有很大的优势。
[34:46:90] [嘉宾]：对。
[34:48:00] [嘉宾]：哎我说到那个小酒馆，你刚喝酒，突然想起来，我们这一次的调查里面发现酒类的消费这几年下滑的非常厉害。
[34:55:00] 这其实也是一种情感供给的减少的表现。
[34:58:00] [主播]：因为大家不再聚在一起喝酒了。
[35:01:00] [嘉宾]：对。
[35:01:30] [主播]：但是你怎么排除这是健康考量的一种趋势呢？
[35:04:80] [嘉宾]：因为全球总的来说对烟酒的需求肯定都是下降的。
[35:08:40] [嘉宾]：当然有可能，我们不论他不喝酒的原因是什么，但是现状是酒类消费在下降，而喝酒的场景往往与社交伴随。
[35:17:00] 所以我们就可以有一个结论是这种社交场合或者社交需求实际上在很大的减少。
[35:22:00] 我跟你说一下这几个数据啊，我看到的时候非常震惊。
[35:25:50] 白酒还好，是1300万吨下滑到414万吨。
[35:31:50] 七八年时间嘛，这个生产。
[35:33:30] [主播]：少了三分之二。
[35:34:60] [嘉宾]：少了三分之二，这还好，红酒是最夸张的。
[35:37:00] 中国人一年原本是产142万吨红酒，现在一年产11.8万吨，就是十分之一都不到。
[35:44:80] [主播]：那很少。
[35:45:00] [嘉宾]：很少。
[35:45:00] [主播]：在中国的文化中，红酒更跟社交场合连接在一起，对吧。
[35:48:80] [嘉宾]：对。
[35:49:00] [主播]：因为白酒还是有很多家庭的场合。
[35:51:50] [嘉宾]：白酒一般还是社交比较多。
[35:54:50] [嘉宾]：嗯。
[35:54:90] [嘉宾]：反而是啤酒还维持的比较好，因为刚需属性要强一点。
[35:58:60] [主播]：因为夜宵必备。
[35:59:70] [嘉宾]：对。
[36:00:00] [嘉宾]：刚需属性。
[36:00:80] 但是你正常的那种社交场合的用酒基本上现在都掉的非常的厉害。
[36:04:90] [主播]：就生活方式发生了急速的变急速的变，而且这一代人都还在。
[36:08:90] 叫我们当时查到数据非常的不敢相信，就是60后，因为这个数据是大众点评的数据，我先说数据来源。
[36:16:00] 就是大众点评的真实消费数据，查完之后发现就是60后的人，基本上出去就餐都是一大群一起，就是一桌一桌的。
[36:25:00] 从7080开始，每一代基本上都实际20个点地往下掉。
[36:29:80] 到00后，现在外出用餐70%的时候是一个人。
[36:34:50] 我当时就问了我们的同事一个问题，这是因为年纪决定的吗？
[36:37:30] 是因为它年纪大了，所以它有更多的这个社交场合，年纪小的人没有那么多朋友吗？
[36:43:50] 然后我们的同事调研完之后就说不是，这一代人的这种社交的习惯他是永远保存的。
[36:49:50] [主播]：年轻的时候是这样，他后来就这样。
[36:50:80] [嘉宾]：老了也这样。
[36:51:70] [主播]：对。
[36:52:00] [主播]：所以00后可能再过20年30年，哪怕他老了之后他也还是会更喜欢一个人。
[36:57:00] [嘉宾]：或者是小范围的这种聚餐，然后比如说两三个朋友，或者一个人去吃饭，这件事情他会很习惯。
[37:03:70] 你知道60后就会觉得这个事情不可以理解。
[37:05:80] [主播]：嗯。
[37:06:50] [嘉宾]：那我有一段时间就是从海外暑假回国，然后我妈正好出去旅游了，我爸不会做饭。
[37:12:40] 他就很困扰一件事，他不知道两个人该去哪里吃饭。
[37:15:70] 就是如果去吃饭，就是应酬，就是一桌一桌。
[37:17:80] [主播]：对。
[37:18:70] [嘉宾]：然后他带着我，当时我们很迷茫。
[37:21:00] [主播]：嗯。
[37:21:50] [嘉宾]：就是一度还要先找那些就是相当于小一点的餐厅这样。
[37:25:70] 所以真一代人的这种消费需求，其实也代表了他对这种群体性的认可，社交性的认可。
[37:32:80] [主播]：那我觉得这个对餐饮行业的影响会非常非常的大呀。
[37:34:60] [嘉宾]：对，这个变格挺大的。
[37:36:50] [主播]：我感觉我出去吃饭，90%的情况下都是可能三个人以下。
[37:41:40] 我在想其实可能根本原因是不是还是温老师最开始调研的，就是大家闲暇时间的减少。
[37:47:00] 比如说陪玩的星期，以前你玩游戏，你就跟你的朋友商量一下嘛，说有没有空我们一起开个黑。
[37:53:00] 那现在你可能首先你自己就很忙，你好不容易有一个休闲的时间，你觉得我一定要玩，然后你再去问你朋友，你朋友也很忙，你们时间总是凑不到一起。
[38:00:80] 那你觉得你还是找陪玩，那出去吃饭也是一样。
[38:03:70] 00后有一部分进入了社会，有一部分还在读书，那他们也会觉得说大家的时间都很宝贵，又很忙，又很紧张，那不如我就自己一个人吃饭。
[38:13:00] 就慢慢的生活习惯各方面都改变了，再加上手机又那么好玩，可能比朋友能带给我更多快乐的确定性。
[38:20:50] 而且这个事情，因为我前段时间出去旅游的时候，住在云南山村的一个民宿里嘛，那个民宿老板娘非常的能干，非常厉害。
[38:27:00] 她就属于那种村里的能人，她就说因为他们把他们村子经营的比较好嘛，后来有收到邀请，去资助他们的这个公司的总部就是在南京，就是人生中第一次坐飞机，然后去了南京。
[38:40:00] 我就问他说你在南京那几天你的体验如何？
[38:43:50] 她就说她就不明白为什么城里的人这么忙，吃饭都是要，比如说12点吃到两点，或者从晚上六点吃到八点，对时间都卡得特别死。
[38:53:50] 她说我们在村里就是每天太阳起来了，我们就起来了，然后晚上太阳落下来了，我们就可能就准备睡觉了。
[39:00:00] 那吃饭我们拜访人家，我可能一代又待很长时间，我不会看时间，不会看表。
[39:04:00] 她就不明白为什么城里人这么忙，既然这么忙为什么还要出来跟我们吃饭。
[39:09:50] 她就很困惑，然后我才知道说可能我们这种就是比如说我们约好我们几点到几点录个节目，几点到几点吃饭，把一天塞得满满的，觉得很充实，我觉得这种才是不正常的。
[39:19:60] [主播]：嗯。
[39:20:50] [嘉宾]：所以我们现在就是我们观察到了这种碎片化的社交，碎片化的交流，爱的场景正在越来越清薄。
[39:28:60] 就我其实不太知道，因为我没有跟这种新一代的年轻人很多的交流。
[39:33:00] 我不太知道这是他们一个被迫的选择，还是一个他们主动的选择。
[39:36:80] 或者说他们是不是向往那种更深刻的关系，还是觉得那样很累，只是觉得现在这样点点陪玩，去按摩一下，微信上面聊聊天就挺不错的，我也不需要有人面对面的说两个小时搞一些灵魂生命的共振。
[39:50:00] [主播]：以我00后的观察，因为现在我们编辑部几乎都是00后了，他们也有很亲密的朋友，然后他们也很享受跟亲密朋友就是那种深度的沟通交流。
[40:01:00] 但是他们对于那种相对就是很热闹的，就比如说一群人去唱K，或者有一个饭局，或者大家去party，这种他们兴趣没有那么大。
[40:11:00] 就是如果有这样的活动，他们可能更多的选择说我去自己打个游戏，或者是在家看看书，或者是追个剧，这个可能是他们相对应的选择。
[40:20:40] [嘉宾]：所以我们看起来是破碎的交流或者社交，在他们看来是他们更追求深度的有意义的社交。
[40:27:80] 他们反而觉得就是年年级大的那些人他们就喜欢一些就是那种很固凿的浮躁的那种热闹，那种是他们不喜欢的。
[40:36:00] 当然我的样本还是比较少。
[40:38:50] [嘉宾]：有一个很有趣的情况，我们还试图做了一调查，但是其实没有一个很完整的结局，就是大家你认识你的邻居吗？
[40:45:70] [主播]：不认识。
[40:46:70] [嘉宾]：对，就是现在这个世界的这种物理上的这种联系，几乎已经消失了。
[40:51:50] [主播]：嗯。
[40:52:00] [嘉宾]：城市里面，这个其实也是城镇化之后的一个结果，也是我们现在看到为什么人与人越来越疏远的一个原因之一，就是城市不支持这种模式。
[41:01:00] 就也很难说是好是坏。
[41:02:40] [主播]：包括我在社交网络上看到大家讨论为什么现在养娃这么累，这么成本这么高，然后就很多人说因为以前可能其实就是社会化抚养的一个变种。
[41:12:00] 比如说林里间大家都认识，然后有可能就把你拖累。
[41:15:30] [嘉宾]：放林里家。
[41:15:90] [主播]：对啊，放林里家，或者同事叔叔阿姨家。
[41:19:00] [嘉宾]：很正常的，我小学很正常。
[41:20:00] [主播]：对啊，跟邻居的小孩一起上下学，现在都得家长接送，这个我都挺不能理解的。
[41:26:00] [嘉宾]：是的，就是我印象里我们上一代人就在说城市的人情已经不浓了，然后这个还是乡情更浓。
[41:35:00] 没想到到我们这一代了，我们也开始来说这个主题。
[41:37:00] [主播]：啊。
[41:37:60] [嘉宾]：当我KTV的那个热闹，哎呀现在当时多热闹多浓啊，现在年轻人已经不浓了。
[41:45:80] [主播]：我有点难以想象，因为我知道以前我去KTV的时候，其实有很多东西可以交流，就是你跟谁，因为我毕竟是一个人嘛，跟陌生人就开始交朋友了，你是谁的朋友，谁带来的呀，你跟老熟的人就开始不停的八卦我最近在发现了什么。
[41:58:00] [主播]：大家对别人很有好奇心。
[42:00:00] [主播]：嗯，现在也很有好奇心，问题是我现在都说完了呀。
[42:02:60] 你发的朋友圈了呀。
[42:04:10] [嘉宾]：哦，这。
[42:04:40] [主播]：你没有东西可以讲了。
[42:05:80] [嘉宾]：你没有。
[42:06:00] [主播]：从2018年到现在，中国人的朋友圈关闭了30%。
[42:11:50] 就是现在朋友圈大家都发的少。
[42:13:60] [主播]：而且我觉得生活没生活没什么可讲的了，可能就是因为我的时间被侵蚀的很厉害了，以及我的线下活动减少了。
[42:21:70] [嘉宾]：就是感觉以前好像发朋友圈是满正常的一个事情。
[42:24:60] [主播]：现在不发了。
[42:25:00] [嘉宾]：现在大家对。
[42:25:70] [主播]：压力很大了。
[42:26:40] [嘉宾]：这个分享的场景也没有了。
[42:29:00] [主播]：我只是分享的东西也没有了，你看我要有线下的东西我才能分享，我总不能跟你们俩分享说今天我在微博上看到了。
[42:35:00] [嘉宾]：这个很正常。
[42:35:70] [主播]：我跟我好朋友的，我们的抖音或者是小红书就是大家疯狂的互相丢视频啊。
[42:43:00] [主播]：所以你其实是不是当面讲的，你只是直接转，然后下面@就完了。
[42:47:80] [嘉宾]：对。
[42:48:40] [主播]：大家都是这样，就是你看所有评论区，热门的都是@ABCD。
[42:52:00] [嘉宾]：对对对。
[42:52:40] [主播]：快来看，哈哈哈，笑死我了。
[42:54:40] [嘉宾]：嗯。
[42:55:00] [主播]：嗯。
[42:55:20] [嘉宾]：是的。
[42:55:50] [主播]：然后所以你你线下见面了以后你俩说啥呢？
[42:58:30] 你们的娱乐就是线上，线下的娱乐没有说的内容了。
[43:02:50] [主播]：哎，好像真的是。
[43:03:70] [嘉宾]：真的是。
[43:04:00] [主播]：对，我发现现在见到朋友好像确实也没啥话可聊。
[43:07:00] [主播]：所以就是跟朋友见面的频率减少了，因为比如说半年之后朋友的生活肯定发生了一些变化。
[43:13:00] 你这一班话是完全不看手机，几个小时也能够聊得下来。
[43:18:00] 但是如果说我上周见过了，我下周再见，再聊啥。
[43:21:00] [嘉宾]：以前聊什么呢？
[43:22:20] [主播]：其实现在我，如果说现实的话，我跟的朋友肯定还是聊一些精神层面的讨论的话题之类的，那还有很多东西可以聊。
[43:28:60] 问题是没有生活分享了，就是我生活中没有东西可以分享给你，然后你要现在问我说忙什么呢？
[43:34:00] 我不知道。
[43:34:60] [主播]：对啊，就是有男朋友的吐男朋友，有老婆的吐老婆，然后你会发现，哎，怎么他每次来都会抱怨同样的事情，然后之后你们交流就会更少了。
[43:43:00] [主播]：对，所以我觉得就是大家能交流的东西其实并不多，就是现在生活太少了。
[43:47:00] 你既然没有东西可以交流又很尴尬，那你不如就。
[43:50:00] [嘉宾]：对。
[43:50:30] [主播]：就转到线上。
[43:50:80] [主播]：所以大家就对面刷手机，然后又看到一个好玩的，我发给你，你发给我，然后两个人再物理空间没有任何的交流，然后在网上互相投递不亦乐乎。
[44:00:00] [主播]：我觉得我们的朋友，我的朋友就是因为我们通常都不太分享生活中非常琐碎的东西，我们本来聊一件事情可能会聊很久，是因为你在这件事情中试图讨论意义啊，然后讨论一些背后的这个规律啊，或者是试图去明白一些什么东西，就是他是试图加深理解。
[44:18:00] 这种讨论其实它就一件事情就能够讨论很久，但是那种纯分享的，比如说我去哪里玩了，然后哪里怎么样好看之类的，纯分享真的很少了。
[44:26:00] [主播]：对啊，然后大家就会说我在你朋友圈已经看到。
[44:29:50] [嘉宾]：你刚才在说的那个分享，我再想这是不是我们以前会吐槽的那种什么大爷们聊国际政治的那种，他们也是聊一个比较虚的，相对精神上的跟他们生活没有关系的，一聊能聊一下午，然后聊的口沫横飞，激起澎湃的。
[44:43:70] [嘉宾]：对。
[44:44:00] [主播]：嗯。
[44:44:00] [嘉宾]：最终我们自己活成了大爷。
[44:45:90] [主播]：就太阳下没有新鲜事什么的。
[44:48:40] [主播]：再过20年我也去跳广场舞了。
[44:50:40] [嘉宾]：其实现在广场舞都在减少了，这个是最离谱的事情。
[44:54:00] 社交整个。
[44:54:60] [主播]：对，他找民的找民的新闻变少了。
[44:57:30] [嘉宾]：对，现在整个社交体系都在崩塌。
[45:01:00] [主播]：就我感触最深的是，我上大学的时候，我父母还会因为我用手机，有说暴怒。
[45:07:00] 你就是还在摆弄你的手机，你态度都不好，就现在就他们真的是打不去的加入了，他们玩手机，玩用的时间比我长多了。
[45:15:00] [嘉宾]：对。
[45:15:20] [主播]：然后我之前在节目里也分享过，就是比如说我的姨妈，他每天刷手机刷到两三点，然后就有的说刷累到睡觉，然后那个视频还在那里自动播放。
[45:25:00] 就很可怕，但是你想他已经是一个70多岁的人了，没有人能管他。
[45:29:50] [嘉宾]：过去十年时间，中国人的平均睡眠时间往后挪了1.44个小时。
[45:34:60] [主播]：我十分怀疑这里面很多的数据还是老年人贡献的。
[45:37:70] [嘉宾]：嗯，当然。
[45:38:50] 而且就是我们以前其实很多没有观察到的这种缺爱的现象，在这个时代其实也被放大或者观察到了。
[45:46:50] 我们开篇刚才说的，那些你原本看不到的角落，然后那些看不到的人，然后他们也在互联网上发出一些声音之后让他们被看到了。
[45:54:00] 其实这个也让人蛮感慨的，就是他们像这样的人，他周，他周，他周边也没有人在意他。
[46:00:80] 他可能就是默默的出生，然后默默的消失，可能一生就这样默默的度过。
[46:04:50] 对整个社会来说，他既供给不了爱，他也消费不了爱。
[46:09:00] 他能供给爱的原因不是因为不想爱，而是因为就是供给爱是要有对象的。
[46:12:80] 我们在做这样的观察的时候就其实挺感慨的。
[46:16:70] [主播]：默认每个人都有的，其实不是。
[46:18:70] [嘉宾]：嗯。
[46:19:20] [嘉宾]：爱的贫富差距有可能比财富还要大。
[46:22:50] [主播]：爱的机会的贫富差距。
[46:24:80] [主播]：那你要是算上爱的能力的话，那就更少了，爱的能力也是很少有人有的，是一个很稀缺的能力。
[46:30:60] [嘉宾]：对。
[46:30:80] 而且你首先有一个对象，你才能够锻炼这个能力。
[46:34:70] [主播]：那你们觉得现在虚拟世界能够提供的这种陪玩啊，余C老师啊，虚拟男友啊，恋爱游戏啊，它能锻炼吗？
[46:42:00] [嘉宾]：它其实是一种交管吧，因为爱很大一部分程度是你要去关注观察和付出。
[46:48:00] 这部分在消费场景里面是完全缺失的，你不需要去讨好或者提供情绪价值给你的陪玩的人嘛。
[46:55:80] [主播]：我觉得两方面看吧，比如说我也会用AI来辅助我进行一些沟通，尤其是只上上的沟通。
