(00:00) [音乐]
(39:15) [主播] 那拍摄中，有没有遇到什么意外情况？就，比如像阿姨晒被子，应该就算一种可能的一倍情况。这种时候多吗？因为你们也是一个公开的场景嘛，也没有制景啊什么的，就那些人肯定来来回回的。这些情况怎么办？
(39:33) [嘉宾] 有一个比较好的点就在于可能北京拍电影的人实在太多了，所以大家也不是很在乎我们。然后有一个有趣的是就是那个拍晚上那场戏的时候，遇到了好多那种跟电影有关的人。对，就比如说我们要借这家店的一个外景灯光，然后去拍。我们到那的时候那个店本来已经关门了，然后我们跟那老板说我们想要这样拍，从这路过，然后觉得里面打灯出来会比较好看。老板就又把门打开，把灯打开，在旁边等我们等了半个小时，然后我们拍。然后聊天过程中他就他就说他也是学电影的，他是中传的，怎么怎么地，然后要一定支持我们创作。然后呢，在拍的过程中会路过一个酒吧嘛，那酒吧门口会有一些人在聊天。那我们就跟他说我们一会从这路过的时候，就你们就继续聊，不用看我们。那个大哥说他，他说我我当年拍电影的时候，你们可能刚出生。然后他说我觉得你们这样拍不行，你们应该这样这样这样这样拍，又指导我们拍。然后一直到晚上，最后一场戏，因为那场戏不需要收音，我就让录音师就走了。那场戏的时候，又遇到一个剧组在拍一个纪录片吧。那他们路过我们，我们我们彼此看着对方。后来就听到他们在那窃窃私语说，你们看这个剧组连录音师都没有，肯定不行。
(41:05) [嘉宾] 嗯，我们每每一次拍摄都吃杀青饭。因为我们也不知道下一次是不是大家都还在。是一种非常临时的生活的那种状态去做这件事情，那拍一次算一次，每次拍完我们都吃挺好的，我们剧组吃的挺好的。我们拍完都是去聚餐的。然后包括你刚说那个泡澡就是因为拍完冰的那一次，就是大家都挺脱离的。
(41:34) [嘉宾] 好冷。
(41:35) [嘉宾] 包括摄影师他一下出租车直接脚软就坐在马路中间了。所以那那次就叫请大家去泡澡了。反正其实还是一个贫穷且幸福的剧组吧。
(41:47) [主播] 那我们之后就聊一聊走红毯的事。23年的10月，东四是条是参加了第七届平遥国际电影展的，然后也拿了两个奖。几个主创去了平遥，走红毯是什么感觉？
(42:02) [嘉宾] 其实是走了两次红毯，第一次红毯的时候我们就比较可怜巴巴的吧，因为当时只有我跟阿毛，还有摄影师，我们三个人到了。然后对我们三个就唯唯缩缩的就上去走了，然后也没有人认识我们。然后钱赓当时是因为在拍一个武打戏。
(42:25) [嘉宾] 圆梦的。
(42:27) [嘉宾] 钱赓当时他说这个戏对我特别重要，所以他就去横店拍戏了。然后他拍的角色是一个就是被人砍的角色。他一直不知道他什么时候能来，因为他必须得被砍死了之后他才能来。所以他每天去问那个监制就是说监制我今晚能不能被砍死。
(42:47) [嘉宾] 是兄弟砍我一刀。
(42:49) [嘉宾] 然后别人告诉他就你前面还有七个人砍死这七个人才能砍你。所以我们每天跟钱赓的沟通就是你砍到第几个人了。对，砍到你了吗？没有。因为我们要去确保就是把他砍完了之后他他能够过来参加我们片子的那个放映的那个首映嘛。
(43:09) [嘉宾] 对。
(43:09) [嘉宾] 最后好像也没没砍死是吧？
(43:13) [嘉宾] 最后是第一次砍死，然后砍死的时候，那一场就是模型就是我的替身被砍死，但是我还没有砍，没有砍死到我特写的那个砍死。没没死透相当于，就砍了一刀没死透。然后一看时间不就行了，我说我得去平遥了，我得去平遥了。
(43:32) [嘉宾] 所以钱赓其实就很仓促的，就是说在在凌晨被砍完了之后飞过来，参加当天的那个活动之后，然后又得飞回去。
(43:42) [嘉宾] 因为当天特别紧急，我那天晚上是大夜。大夜就是拍到早上6点杀青，太阳光出来就不能再拍。太阳光一出来我就我就上飞机，然后没有睡觉。到了平遥之后我就特别困，我在飞机上能睡睡着，我吃了两片安眠药。但是这个安眠药呢，没有起作用，反而让我更困。就因为当时可能是因为去平遥可能比较兴奋。然后那个兴奋在跟我的困意加上药性在斗争。我就呈现了一种梦游的状态。我还还记得我去做了一个头发，但是我一直觉得理发师给我抹的那个摩定型摩斯不够。我我一直觉得不够不够定型。后来我发现其实他也已经喷过量了。所以如果如果大家有有机会看到我们在平遥上的那个照片或视频，你会发现我的头特别特别油，有量有量。糟金建走的感觉，我发现。
(43:56) [主播] 那大豆有整个什么发型或者买是，什么衣服吗？
(44:41) [嘉宾] 没有，我们就是穿自己的衣服嘛，然后也没有正装嘛，你说鼓楼人哪有正装呀。也不会去买，你买了之后你就穿这么一次，你以后也不会有什么红毯要走了吧。所以我们大家就还是穿着自己自己的衣服，觉得比较得体的衣服，那实际上从现场来看，其实也不是特别的得体吧。然后就大家穿自己衣服去去莫名其妙的走了个红毯。嗯，然后我们前后的剧组的那个氛围都可能他们都特别习惯这种场合。然后我们属于是那种我们站在原地，人家念了我们名字，我们还不知道要走。来了一个人，给我们每人推了一把，把我们推上去的。
(45:22) [嘉宾] 就很好笑。
(45:23) [嘉宾] 嗯，也挺快的，没有那么长。然后就走到那一起合照的那个地方。摄影师太紧张了，他就把那个照涛老师给挤到了后排去。
(45:36) [主播] 那大家就是走红毯的时候紧张还是看其他参展电影的时候紧张，就是看其他的电影会不会也会想那到时候我们放的时候会不会没有观众看，会不会没有观众喜欢，有这种恐惧吗？
(45:54) [嘉宾] 嗯，有有期待，我是有期待。我觉得好多人都要求比较高，观影量也比较多，所以他们看片的感受每个人因人而异。我会期待他们看到我们这个片子的时候的反应。无论什么反应，我都很期待。
(46:12) [嘉宾] 我属于是那种，因为我跟阿毛在写剧本的时候，我们就知道这个片子属于会有人特别喜欢，有人特别不喜欢的片子。所以当我们把它拿出来放的时候，其实就做好了这种准备吧，可能需要面对可能有人特别不喜欢，的评价。但是我们依然很期待那部分特别喜欢的人的评价。
(46:40) [主播] 那当时在平遥大家做，什么？就是每天的行程是什么样的？你们会干啥？
(46:45) [嘉宾] 我们每天就是在那个草地上走一圈，然后晒晒太阳。有那种派对，但是我们我们去之后反而也没有人搭理我们嘛，我们就在旁边很独立。对，所以又待一会我们就走了。然后我们就去那个台球城去打台球去了。
(47:07) [嘉宾] 我是体验了一把，我跟杨凯航我们俩体验了一把签名的快感。放映结束后，很多影迷不愿意走。他们把我们围堵在屏幕下方。然后我当时第一感觉是有点吃惊，就是我没想到大家在电影里面的一面之缘会产生这么大的情绪，然后观众们会特别想留下我们在现实生活里面的一些痕迹。所以在那会吃惊结束之后，我跟凯航我们两个都都都觉得哎呀，无论多少人，我们都会满足你们的要求。我们不要着急，因为主持人已经吹响。如果我们在这个影厅里面滞留太长时间会可能会耽误下一场的放映。然后我们就一点一点挪出去，在门口，然后把所有人都想要签名的人的朋友，把他们还有合影的朋友都都都签好，然后合影完。然后最后等他们都走开，我们我们最后才走开。
(48:11) [主播] 签了有多少人啊？
(48:13) [嘉宾] 两三百人左右在签名。嗯。
(48:16) [嘉宾] 差不多。
(48:17) [主播] 哇，那真的好多。我记得那天上映的时候，然后大家就都在讨论，在朋友圈里面去平遥的人也都在说《东四十四条》是那一年最有意思，最轻盈，最好玩，笑声最大的一部电影。所以你们当时在看这个电影首映的时候，观众们的反应是什么样的？就是大家反应是不是都特热烈？
(48:40) [嘉宾] 对，最轻盈我们认吧，就是因为现在轻盈的东西也不多。
(48:45) [嘉宾] 喜欢的不喜欢的都很热烈。
(48:47) [嘉宾] 就是还是相信快乐，快乐会传染，但虽然这个快乐的程度化到每一个人身上会不，会有不一样的体现。
(48:54) [主播] 所以观众现场感受观众是什么样的反应？就你们还记得大家在笑是在哪些点上笑吗？
(49:03) [主播] 有人鼓掌吗？
(49:04) [嘉宾] 每一个点都笑。东四失恋了，我们觉得很悲伤，他们也笑。
(49:09) [嘉宾] 就他们笑的点，你就会觉得啊，有些人会因为这个开心，就会觉得啊，自己可不可能也会因为这个开心，就可能会有一个这样的问题。问自己，但不是那种沉重的问题，也不是那种炸治型的问题，就觉得啊，很很有趣。
(49:27) [主播] 那放映前，放映后，大家是怎么说的？不是一般主创们都要说上一两句话，然后放映前要说，放映后也要说。
(49:39) [嘉宾] 就是我们去了之后才知道要说嘛，然后就就是瞎说。我觉得我跟阿毛说的就是那，就是介绍一下电影，但是我觉得钱赓跟杨凯航说的这两句话我，都印象非常深刻。钱赓他说的是就是希望所有疲惫的朋友们都能在这个电影里面得到一些放松，是吧？
(50:04) [嘉宾] 嗯，是。
(50:05) [嘉宾] 我希望所有疲惫的朋友们放松下来，看我们这个电影。
(50:09) [嘉宾] 对，然后杨凯航说的是希望大家喜欢我这件绿色的衣服。
(50:13) [主播] 嗯。因为它当时穿的是绿色的衣服是吗？
(50:17) [嘉宾] 对，然后就跟电影里是一样的。
(50:20) [嘉宾] 冰河尚的，那件。
(50:22) [主播] 除了热情的观众，有没有一些什么影视公司，监制啊，制片人啊，递来名片什么的吗？
(50:29) [嘉宾] 尚有，也算没有吧，我们也不知道就是稀奇古怪的，但是，我，我们很感动的是那个黄金新导演，还有王红卫老师，他们有找我们聊一下，说他们觉得这个片子他们很喜欢。就鼓励我们吧。大概就说我们跟年轻人站在一起，然后他就觉得很好。而且王红卫老师还提到他说他他就觉得应该以这种轻盈的方式，然后很小成本的方式去拍片子，是可以的，不是说所有人一出来都说我要花上个几百万，然后去拍我的片子。
(51:09) [主播] 放映前和放映后，就是再平遥待遇有所变化了，就，有没有走在路上有人认出你们来了？或者要找你们握手拥抱叫出你们的名字？
(51:22) [嘉宾] 我们在那晒太阳的时候，会有一些影迷过来跟我们打招呼，然后会有一个让我印象深刻，他他一直强调他说他未来会一直关注我们的。特别的真诚，我我就挺感动的一个小女孩。没有那种直接认出我们，但是从我们身边路过，但是用我们片子中的台词在对，话的那种人，给我留下很深刻的印象。一个说，我们我操，没烟了，另一个说没烟了，抽火。他们会把这些对，话放到日常生活中，我就觉得很有意思。
(51:56) [主播] 我到现在听到黑色幽默，我，都要加基居科科了。
(52:00) [嘉宾] 嗯。
(52:01) [主播] 那再问一个问题，就是参加这种主流的电影节，违背鼓楼人的气质吗？
(52:07) [嘉宾] 那我们得先讨论一下鼓楼人的气质是啥。
(52:10) [主播] 至少有一个是相对边缘，它肯定不是主流的。
(52:14) [嘉宾] 我没有觉得鼓楼人非得要就是相对边缘，只不错说是一些客观条件让我们很边缘而已。我觉得鼓楼人的气质对我来说就是，每个人是按照自己想要的方式去生活，这，点很重要，就是他不会去迎合一个环境希望他成为的人，他会不断地去摸索自己想成为什么人，哪怕这个人是一个非常怪的形象，他依然会选择这么去做。但是与此同时，就因为他在鼓楼，所以所有人可以包容这件事情。所有人都觉得你可以是这个面貌，他可以是那个面貌。所以让这个地方的人都可以更加勇敢地去去去按自己的方式生活。
(53:03) [嘉宾] 我觉得即便我们参加奥斯卡也不会违背鼓楼人的气质。
(53:07) [主播] 我记得当时跟钱赓聊，钱赓说了一句，让我印象很深刻的话，他说电影节拿了奖，观众也老疯狂了，Dance is good, still keep low。
(53:19) [嘉宾] 这个，我们电影名，的英文名，是dance still嘛，然后。
(53:25) [嘉宾] 本来，本来这个这个两个单词放在一起是有语病错误的，所以我在后来想再诠释的时候，尽量让它语法正确。所以我就开始组词，dance怎么样？比如说dance well, dance good，这这种，然后still就是还能让他，就是慢慢主位宾这种状态下能够完成完整的成为一个句子。然后就想，啊，那我們想要低调的一些，就是这种low key的感觉。然后让大家跳舞的时候用轻盈的脚步，呈现自己的状态。所以就变成了这句话。然后再往前推就是dancing on the moon, still loving you。我们会像在月球漫步一样的那种当我们身处一个就是地心引力不大的时候，或者是它转化成一种我们身体里的压力不大的时候，我们的步伐就会轻盈像在月球上漫步一样。然后在那一会，我们会在用这种方式表现我们依然依然爱着这个世界或者爱着身边的人的这种感觉。
(54:36) [主播] 所以现在《东四十四条》的英文名字就是Dance Still吗？
(54:40) [嘉宾] 对。
(54:41) [嘉宾] Dance still挺好的，因为就像钱赓说的，他想出这个名字的时候，他本身是，一个错误的语法。但是我们每个人都会用自己的想法去翻译它，那我会把它翻译成一只不动的舞。就是因为当时是跳舞，然后still是禁止，它其实并不是像很多人理解的still dance, still dancing那个意思。它是说这个人虽然一直在跳舞，但是他他是不动的。其实很像这个片子就是当你，知道你跳这支舞，依然没有用的时候，你还要不要跳舞。其实也跟太白捞月是一个意思。
(55:23) [主播] 对，这个是关于电影里面一个很重要的意向，我们可能放在结尾再更多的聊一聊这个。
(55:30) [主播] 我觉得23年的时候我跟大豆聊，大豆那会儿其实并没有想电影会进入院线公映。当时我记得你跟我说可能就是小范围的一些放映，然后让大家想看的朋友们可以小范围的看一下。就这个是你对电影最初的期待是吗？就是它是怎么变化，或者是怎么走到到4月8号全国公映这，一步的？
(55:58) [嘉宾] 反正我们对这个电影从头到尾的态度是没有变的，就是只要有，有一个机会找到我们，那我们就会说Yes。这个电影从头到尾其实我们都没有过设想，我相信我说的这六个人应该是没有设想的。所以我们处于一个特别活在当下的状态去做的，我们都没有往前看，只是看自己脚下这，就是几十米的路。这样把它做下来，包括到现在其实也是一直这样。所以就是看看我们能看到的这个脚下这几十米的路。
(56:39) [主播] 电影里面其实除了东四和十条，然后还有另外一个很重要的角色吧，就是鼓楼。住在鼓楼胡同里面的年轻人，大致是一个什么样的画像？可能就是很少有人有那种需要做班的稳定工作。大家可能都是像钱赓这样的艺术家，或者是音乐人，也或多或少脱离了那种比较主流的生活规则吧。大都是在鼓楼住了十年的，他说鼓楼是不愿意循规蹈矩的年轻人构筑的乌托邦。鼓楼人有一种生命力在里头，他会质疑别人走的，路实践他想走的路。大豆跟阿毛就住在这里，然后钱赓其实也是频繁的来往鼓楼。那为什么是鼓楼？为什么要讲一个发生，在鼓楼这个地方的故事？因为肯定会有很多听众或者是读者，他们并不知道北京鼓楼是一个什么样的地方，大家可以简单介绍一下这是一片什么区域，就为什么要把故事的发生地放在这？
(57:35) [嘉宾] 其他文化层面来讲，我觉得它可能是如果放在其他城市里面，年轻人愿意去走，愿意去在那交朋友的一个地方嘛。它可能是其他地方也在其他地方，只不错我们这个在北京的时候它叫鼓楼，在其他地方的时候可能叫别的名字。现在好多年轻人他们不一定愿意像十年二十年前他们会去真的去社交而不是用网络，通过网络这个手段去去实现社交的这个东西，先实现社交。我们那个时候大多都是靠身体力行，走一走看一看。然后碰到有意思的就停一停，然后聊一聊，也不是说一定要变成朋友，有可能擦身而过，或者是一起看一场演出，只仅仅是在一个Live House里面大家一起听过音乐，这种情况。不同时间，不同地方，产生文化性上的差异。因为一线城市和二线城市和三线城市的历史进程跟时间时空密度不一样。但大家面临全球化的问题的时候，只是快慢问题，先后问题，大家都会经历历史历史性上的，相似性的那种同样的东西。
(58:51) [嘉宾] 我在鼓楼住了十年了嘛。为什么地点在鼓楼，其实就很简单，我觉得我们其实只有一个视角就是从我出发的视角。所以每个人其实只能讲自己生活的故事，讲不了别人生活的故事。如果我现在要去讲一个别的楼。那，就不是我的生活。不是我的生活，那我其实就，也，没法把它讲好。所以我只想讲我，自己生活中的感受。个故事。然后那这个鼓楼，我不觉得它是一个局限在这里的一个区域，我，我觉得全国很多城市可能，会有这么一个区域，只不错说我们不知道。他们的经历和想法可能跟我们非常的相似，那我们能不能通过这个引，上鼓楼去联系在一起，连接在一起。这个是我们比较期待的事情。
(59:49) [主播] 那在鼓楼住是一种什么样的感受啊？就是它可能跟像我们住在其他地区，住在朝阳啊，这些，比较，两板，间的邻里之间关系也没有那么密切的这种居住环境有什么不同？
(00:06) [嘉宾] 鼓楼就，其实属于像标老师说的那，个附近的概念嘛。它其实完全符合这个附近的概念。你，不仅需要跟你觉得志同道合的人去打交道，你，同时需要去跟很多可能你，住在楼房里打不到交道的人去密切地打交道。然后这个社区它也是一个没有边界，边界很模糊，然后这么一个存在。那其实，我觉得我们在鼓楼享受着它带来的一些快乐，同时也承担着它带来的一些别的情绪吧。就有点像这个电影，我觉得这个电影是两面的。就有的人他看得笑得不行，但是有的人是看哭了。我们在鼓楼其实就，就是大概是这种感觉。就，有时候，这些朋友他能够极大程度地去拖举和温暖你，让你相信自己可以对自己生命进行一些探索。那与此同时，你你就不，不得不接受这里的流动性。你不得不接受你每年会有一些朋友要离开北京，离开你。这就是人跟人，人想要去跟，周，围建立关系，就必然要接受的一件事情。那如果，不建立这个关系，当然也没有这样的一种烦恼吧。但是那也没有这样的一种快乐。所以鼓楼就是一个很很综合的，一个附近。
(01:35) [主播] 我们最后就可以聊一聊电影里面反复提到的那个作为意向的月亮。电影里面东四是条，他们两个人可能都有自己执着那个东西，但电影又告诉你好，像对这种意义的追寻啊，执着，好像是无意义的。就是电影里面经常出现的那个月亮。不是月亮与六便士的月亮，而是李白的月亮。然后很明显的一个情，节，就是电影里面我们共同的朋友取歌，他饰演了一个流浪汉，然后他骑着他的，真的是他的，老二八自行车，然后就在钱赓饰演的十条那个角色的注视之下，他就喝醉了，然后他喝醉的时候念了一首诗。那也是他仅有的四句台词，说玩之后，他就丢下自行车就一个人走了。之后十条就骑着这个自行车继续开始找寻了。那钱赓可不可以在说一下这个？就是，这四句诗其实是根据钱赓的经历启发的，对吗？
(02:41) [嘉宾] 其实那四句诗就是香港黄大仙抽出来的一张签上写的那四句诗，它是第十二签，下下签，太白捞月。当时我是去2017年今年香港僵尸电影前辈林正英逝世20年，我打，算去香港纪念他。第一站就去了黄大仙求签。求签是个什么样的过程，就是它是一种半自助式的预测行为。就是你手，捧着那个签，心里想这一件事情，然后摇摇摇，出来一根木签。就是在你，想这件集中念力，注意力想这件事情的时候，你的身体所触动的一个开关，让这个签掉出来。然后每一个签都会对应一个诗文，然后你带着你的问题跟这个诗文去解签，就会得到一个答案，或者是一个预测。我当时模糊的概念就是我想问艺术在我这个生涯里面，人生生涯里面是一个怎样的怎样的前程？未来它会怎么样呢？它在我生命中，是是一个什么样的状态呢？也比较模糊的一个问题。然后当时让我看到这个签写的太白捞月的时候，我就大概已经明白了。有点失落，因为上面写的下下签。解签的那个婆婆就安安慰我，也不算安慰我吧。他说李白肉体没有成仙，但是他的精神世界成仙了，因为大家管他叫诗仙。而且这么多年以来，大家还记得他他是诗仙，而且还喜欢他的诗文。就让我特别感动。我就想，会不会我做了这件事情，或者是我像李白一样生活，也可以留下一些事情跟未来的人交朋友。所以最开始我是经历过这个之后，回来之后，我也感触特别大嘛，所以就办了一场个人第一场书法表演，然后就想就用这个，同样这个名字，我想回馈一下我得到的这个，兆事，我想call back一下。然后没想到我在表演的过程中，我又收获了收获了一些对我很有帮助的东西，就是我把李白跟李小龙联系在一起。好多好多影迷朋友会问，或者是观众会问，为什么我跟东四在桥下写字的时候，我写的是李白跟李小龙这个名字。事实上那会儿的这两个名字也代表东四跟十条，也不代表这两个人也不代表李白跟李小龙。我想打破时空，让让李白跟李小龙坐在一起喝酒，然后他们一起去坐在河边，李白想要去捞捞月亮的时候，李小龙对他，说be water。其实就是这么一个简单的场景，我想去构，建成一个打破时空的两种身份状态的那种惺惺相惜，然后各自有见解，然后看待事务角度虽然不同，但是他们欣赏，同一轮明月的时候那种感觉。其实这这种感觉，跨时空的感觉很吸引我。所以我从我的角度来讲，我看这个电影很感动的点也再于这个层面。我觉得他给我的启示，给营造出来这种感觉，也是在鼓励我，激励我，帮助我，还原我的想象。
(05:58) [主播] 钱赓，他，是想写李白和李小龙的时候，导演是设置的这，一场戏可能就是十条写字，然后写什么都可以，是吗？
(06:08) [嘉宾] 就是十条写字，但是他不会写东四和十条，因为他们说写他们的名字，但是我知道十条他不会写东四和十条。那具体他写谁跟谁，这个我们好像就是在现场的时候大家都，基本上想到一块去了。然后钱赓写出来，我们就觉得特别对，就是这样。
(06:28) [主播] 我可以再跟大家说一下，那个太白捞月那个签文是什么，是圣，楼海市幻无边，万丈晴空接上天，或被狂风，呼吹散，有，时仍巨，皆清烟。我感觉这，四句签文，就，特别像这个电影，和这个电影的，表达是非常相似的。
(06:50) [嘉宾] 对，我我我很喜欢这四句话，哪怕它是一个下下签。其实就解释了你刚才说的有意义还是无意义这件事情，有意义的东西他可能是无意义的，但是无意义的东西它可能是，有意义的。
(07:03) [主播] 就前面可能是一种无意义的追寻，然后它最后结尾落到了有，时仍巨，皆清烟。这个也是我当时采访你们两个很大的一个感受吧，就是大家强调的，好像都是最终，都是朋友在一块做事特别快乐这件事。
(07:21) [主播] 我也有跟我们主编看你们那个后期的那个片子，有看预告片，然后她就说看完这个片子她想起了正面链接之前发过的一篇关于侯孝贤的影评，然后那篇影评里面美雪峰就写说我爱这种不太有出息的快乐，我也爱这种重瓜得豆的人生荒谬。他说，这句话很《东四十四条》，我觉得很同意。
(07:45) [嘉宾] 然后我们前几天路演的时候，有一个观众说的话，我也觉得特别好，他说，他说就是那些看起来像是被浪费掉的时间，造就了今天的你和我。
(07:58) [嘉宾] 是是，观众比我们厉害。
(08:00) [嘉宾] 就是我，我，我觉得在这个时代，你去表达，其实是一件挺危险的事情，就是好像要承担很多，会有一些负面的东西试图去击垮你。但是如果我们为此而不去表达的话，我们就很，难，去连接到我们想连接的内，内，那一部分人，所以我们就是还是选择勇敢地去去去让这个片子上映。所以，那样的话我希望就是有更多的人能知道它，来看它。那从里面我们可能和一部分人能得到一种连接。
(08:42) [嘉宾] 我想跟，还没有看到我们电影的观众朋友们讲，其实有可能不是只现在这个，这个时空。有可能，300年500年之后，那些也，也算是，没有还还没有机会看到我们，电影的那些观众朋友们。我只想跟你们轻轻的说一声Hello，有可能这部电影就是，我们，的一个拥抱，我们伸出的一个双，手，的一个拥抱，没有其他的意义，就是想跟大家抱一下，说一声Hello，这样。
(09:14) [音乐]
(09:22) [旁白] 说再见吧，朋友啊。以后还会有，更温暖的聚会。说再见吧，爱人啊。我会回来的，不用，恋，恋，不，舍。
(09:47) [音乐]
(10:04) [旁白] 说再见吧，妈妈呀。别为我担心，我已经，长大成人。说再见吧，说再见。再晚一点天就会黑的看不见。
(10:31) [旁白] 亲爱的亲爱的敢爱，阿布啊。不要害怕不要恐惧勇敢往前走。亲爱的亲爱的敢爱，阿布啊。不要害怕不要恐惧勇敢往前走。不要害怕不要恐惧勇敢往前走。勇敢往前走。勇敢往前走。
(11:18) [音乐]
(11:53) [掌声]
(11:57) [旁白] 我都。
