[00:00] （背景音乐）
[32:57] [大卫翁]：对，因为你在讲到自己的本命的时候，确实会比较激动。但我真的是觉得他的一些观点理念是对所有人都有帮助的，就不光是对于投资，而且对于你的人生，对于你的生活也会有帮助。因为他最让大家所熟知的是他对于周期的理解，而我们现在正好处在一个大周期的中间。所以呢，你去听这期节目里面，我们把他所有关于周期的内容一条一条去拆解，包括把里面的细节一个一个拿出来去讲。而理解周期，不光是对于投资，对于我们的职业发展，对于我们如何在这样的时代自处，自洽都会有很大的帮助，所以这是我推荐这期更重要的原因，就是他对所有人都会有帮助。

[33:43] [大卫翁]：那么为什么推荐 PTJ 呢？是因为 PTJ 对我来说是完全陌生的一个领域。对于投资这件事情来说，你去了解一个你现在完全不了解的领域是非常重要的。就投资是需要吸纳不同的信息源，你需要去把知识学杂了，让你的大脑的容量不光是集中在一个信息简防或者说你所熟悉的这个信息圈里面。比如说对于我来说就是 PTJ 这样的交易员，因为交易员在这个市场上是非常重要的一个主体，他决定了每天市场的的涨跌。那么当我录完这一期，特别是从跑师那里了解到了非常多关于 PTJ 他是怎么思考的，这样的一个维度之后，对于我自己整个信息库来说是一个非常好的补充。那我相信因为听这个专辑的朋友，真正做交易员那应该非常少。

[34:34] [大卫翁]：像跑师这样有过的交易员经验或者说跟交易员相处非常深的经验的人都会很少。那么你听这一期一定或让你有一些全新的对于投资这个世界的一些理解。

[34:47] [肖肖跑]：嗯。

[34:47] [大卫翁]：余白，你推荐哪一期啊？

[34:49] [余白]：我还是遵守一下这个规则，如果只推荐一期，先听一位大师，我觉得还是得给大家推荐彼得·林奇。

[34:56] [大卫翁]：嗯。

[34:56] [余白]：因为我觉得彼得·林奇是大家最开始做投资最容易接触到的，你会觉得说这个人的方法我好像可以用的这么一个大师。而他自己写的书又很好懂，看起来就像是喂饭一样，告诉你说第一步怎么做，第二步怎么做，第三步怎么做。而正是因为他看起来非常好懂，非常好实践，他也更容易让大家对他有一些误解。

[35:19] [肖肖跑]：嗯。

[35:20] [余白]：所以我觉的，如果要推荐给大家帮助大家更好的做投资的话，我觉得听彼得·林奇那期是比较有帮助的。因为可以帮大家正本清源，搞清楚彼得·林奇为什么这么有名，以及他的投资适合什么样的人，在什么样情况下能生效，什么情况下无法生效，以及他究竟在讲什么。我觉得可能对大家更有帮助。那如果说至于我自己的话，我其实跟跑师的一个答案是很像的，就德鲁克·米勒。因为德鲁克·米勒的很多观点，在我看来是非常的反常识的。这个也暗合刚才大卫翁老师说的，就是你要了解一些你不熟悉的领域和你想到完全相反的人。

[36:01] [余白]：就是我们平时坚守的信念是“不懂不做”嘛，投资要在能力圈以内，他会觉得说我就要先投，投到一个让我可能会觉得痛的仓位，然后我再去研究。就是他会身体先行，然后呢我的意识和研究再跟上。我觉得这个是非常的反常识的。

[36:18] [大卫翁]：嗯。

[36:19] [余白]：嗯。然后这个就是芒格经常说的一些要反过来想嘛，我觉得确实对我帮助挺大的。另外，包括在我们聊德鲁克·米勒那期也聊到就是现在的大神特也是德鲁克·米勒的这个门徒吧，或者是学生。那了解他也对于我们了解美国目前的情况会更有帮助。

[36:39] [大卫翁]：我是觉得我们三个太心急了，就是三个人推荐完了之后，感觉把整个专辑一共录了六期，推荐了五期。

[36:46] [肖肖跑]：哎，那为什么没有人推荐达利欧呢？但其实我觉得达利欧那期。

[36:50] [余白]：我那期节目的感情会很深。嗯，听完那期你会觉得达利欧他这一辈子真的是非常努力的。

[36:59] [肖肖跑]：在琢磨，在钻研，在挤破头想要出人头地，想要证明自己。然后他的家庭生活又非常的不幸福，跟霍华德·马克斯形成了非常鲜明的对比。就是我在情感上某种程度上我海挺能跟他有共鸣的。

[37:15] [大卫翁]：真的嘛。

[37:16] [肖肖跑]：就觉得很不容易。就是他很努力，他也遇到了贵人，但是他也没有那么幸运。

[37:22] [大卫翁]：嗯。

[37:22] [余白]：我没有推荐他，说实话，我对他印象不是很好。当然他是一个非常非常好的分析师。他对整个世界的宏观经济啊，经济周期，债务周期了解是非常深。而且他非常勤奋，就是他会不厌其烦地给大家解释一个概念。我们现在也可以经常看到他在，不管是在政治方面呢，还是整个行业方面，就他现在痕迹有点多，太多。那么以至于觉得如果说从纯投资这个角度来讲呢，可能相比之下我更推荐其他的大师。

[37:57] [大卫翁]：对，我觉得他很好的验证了一句话，就是投资大师也是人，投资大师不是神。

[38:02] [余白]：对对，大老师知道的。

[38:03] [大卫翁]：另外呢，他是一个执念很深的人。所以呢，听了这期之后你会对很多的投资大师去妹。从这定上来讲，还是值得推荐的。

[38:12] [余白]：对，他足够复杂。

[38:13] [肖肖跑]：对，而且这集题目特别好。A面和B面。

[38:17] [余白]：就是他是一个从B面的角度分析的非常精彩的一期。

[38:21] [肖肖跑]：哇塞，这么一听，整个系列每一期都好精彩。

[38:24] [余白]：我都想重新再听一遍了。

[38:26] [肖肖跑]：是的。我们确实是非常开心，也非常自豪吧，能够把这一系列专辑呈现给大家，也非常欢迎大家在评论区里提名你们想要听掉的大师的故事。

[38:38] [大卫翁]：对，大家听到这一期的时候，其实我们还有两期没录，甚至也可以考虑开放一个名额给大家提名，觉得最值得让我们来聊的投资大师是谁。

[38:50] [肖肖跑]：如果大家都提名巴菲特怎么办？

[38:52] [大卫翁]：那就聊巴菲特。虽然我觉得聊巴菲特的人已经很多了，我们更希望呈现给大家一些不同的投资大师。但是如果大家觉得巴菲特还是想听我们聊一遍的话，我觉得我也不排斥。包括我们可能也可以在第二季去聊大家提名的一些投资大师。

[39:08] [肖肖跑]：嗯，哎呀。

[39:09] [余白]：那期待大家的反馈。

[39:11] [大卫翁]：好。

[39:12] [余白]：好的。

[39:12] [大卫翁]：我们今天就这样。

[39:13] [余白]：好，拜拜。

[39:14] [大卫翁]：拜拜。

[39:14] [肖肖跑]：拜拜。

[39:15] （背景音乐）

[39:21] [旁白]：这一期是我们的预热篇，也是一份真诚的邀约。我们想告诉你，这不是一档课程，也不是一本教科书，而是一系列我们认真坐下来，把这些言行讲清楚的节目。我们聊的，不只是这些大师们的成功，我们更在意他们如何在复杂中做出判断，如何构建自己的世界观，以及如何在时代洪流中保有立场。如果你已经听到这里，也许你会好奇，这是不是一个很有门槛的系列。坦白说，它确实比小酒馆的日常节目更深一点，信息量也更大。但是我们不认为它只适合专业的投资者。只要你对这些真实的人生故事，对投资的多样路径，对时代和个体的关系感兴趣，我们都欢迎你来听听看。你可以根据自己的兴趣，选择单集购买，也可以一次解锁整套专辑。在小宇宙APP页面点击 banner 即可购买，每集19块9，整套99块钱。首月呢，还有一个早鸟价79元。除此之外，你还可以在喜马拉雅客户端或者网易云音乐，按照各个平台的规则收听和购买。我们会继续认真做下去，也欢迎你在评论区里留言，告诉我们你最想听哪一位投资大师的故事。你的购买，反馈和转发都是对我们最大的支持。期待在下一期正式节目里，再次与你相见。

[40:41] （背景音乐渐弱）
