[00:00] (背景音乐：轻快的吉他旋律)
[26:20] [嘉宾-猫草]：它本身没有规模效应，它其实一个城市，顶尖的城市以及顶尖的度假城市，它就是一两家店。
[26:27] [嘉宾-猫草]：在这种情况下底它就有做Branding的空间，因为它满足的是这一部分人，我就不要规模效应了，我就用它来做品牌，然后挣的是那个常旅客的毛利。
[26:38] [主播]：嗯。
[26:39] [嘉宾-猫草]：因为它不是靠规模效应堆出来的店，所以我觉得反而它到上面就会变得很细分。
[26:43] [嘉宾-猫草]：但是您所说的那个道文华或者六善，它们其实也在大酒店集团里面，六善是在大酒店集团里面。
[26:50] [主播]：在洲际。
[26:51] [嘉宾-猫草]：在洲际里面。
[26:51] [主播]：六善也是这几年被买了。
[26:54] [嘉宾-猫草]：对，被买了。它就变成了大集团的一条线，那六善就是一个呃，就是一个可持续经营的...
[27:01] [主播]：ESG标准。
[27:03] [嘉宾-猫草]：ESG标准的这个户外奢持的酒店。
[27:06] [嘉宾-猫草]：它其实就变成了这个大集团的某一条主打的线。
[27:09] [主播]：对。
[27:10] [主播]：猫草老师今天从商业角度给我们探讨酒店的一些运转，然后我就是一个纯的消费者。
[27:16] [嘉宾-猫草]：我觉得猫草还有挺有意思的点，就是你刚才提到安缦，还有包括那个新野度假村里面的那个顶奢。
[27:22] [主播]：星野。
[27:23] [嘉宾-猫草]：星野诺亚。
[27:24] [嘉宾-猫草]：就它们又不太一样，我觉得安缦和星野诺亚是非常典型的占据了一个不可替代的这个点，本身是独一无二的。
[27:34] [嘉宾-猫草]：所以你看它的甚至每个店的名字都不一样，对吧？怡和安缦、养和安缦、大研安缦。
[27:40] [主播]：它的英文名会更加的有趣，就是跟地方甚至都没有关系。
[27:45] [嘉宾-猫草]：对，就是每一家店它都非常的独一无二，它会告诉你我这押店是哪个哪个大师建的，然后这个大师这是它的一座，然后我选在了两个不可复制的地方。
[27:53] [嘉宾-猫草]：安缦甚至很多店，它一年就开三四个月四五个月。
[27:57] [主播]：真的吗？
[27:58] [嘉宾-猫草]：哦安缦有很多这样的店。
[27:59] [主播]：哦。
[28:00] [嘉宾-猫草]：就是它选的是一个绝境。
[28:02] [嘉宾-猫草]：然后这个绝境。
[28:03] [主播]：绝境只有那几个月能进去。
[28:04] [嘉宾-猫草]：对，你别的时候你进不去。比如说我这次我我在录制之前我在搜安缦的这些东西，然后我就要跟Cindy说，哎，我以前特别想去那个黑山安缦。
[28:13] [嘉宾-猫草]：但黑山安缦是一半在陆地上，一半在岛上，岛上的那一半它一年只运营四个月。
[28:18] [嘉宾-猫草]：现在它跟当地政府谈不拢，它就把岛上的那一半给关掉了。
[28:22] [主播]：嗯，原来是这样。
[28:23] [嘉宾-猫草]：但它运营成本会特别高，所以它的间夜价格会到2万以上。
[28:27] [嘉宾-猫草]：所以这样的酒店会把自己称之为目的地酒店。它甚至都不是一个简单地就度假酒店叫Resort，就我这个地方是专门用来度假的。
[28:35] [嘉宾-猫草]：所谓度假酒店必备的一些服务就是它会给你推出各种各样的服务，你完全可以足不出户。
[28:42] [嘉宾-猫草]：在里面它会有带你比如说放什么水灯，带你做一些这个手势，然后包括Spa之类的必备的东西。
[28:49] [嘉宾-猫草]：就是它会有一些跟在地的旅行体验结合起来，但是完全可以不不出这个酒店，就满足所有人的需求。
[28:56] [嘉宾-猫草]：所以这是度假酒店的标准。
[28:58] [嘉宾-猫草]：但是在我心里就是像安缦呀之类的，它就更进一步，它是一个目的地型的酒店。
[29:03] [嘉宾-猫草]：比如说你去订红星诺亚的时候，你会发现大部分红星诺亚要提前两到三个月订，甚至可能要提前半年一年，比如京都的那家店。
[29:12] [嘉宾-猫草]：你完全要把那个地方当成一个你的目的地。
[29:14] [主播]：对。
[29:14] [主播]：我去那就是为了住这个酒店。
[29:16] [嘉宾-猫草]：你是为了去泡酒店才去的，你这一趟行程就是为了去泡那个酒店，酒店就是你的目的地。
[29:22] [主播]：嗯。
[29:23] [主播]：确实是，确实是。好，好，让我们先拉回来。
[29:25] [主播]：我感受到了两位的风格了，这个一旦散出去，我得行使一个把把我们的提纲往下拉的这个职责。
[29:34] [主播]：因为关于会员体系这个事情，我觉得还是有很多我们可以先往后推进的。
[29:38] [主播]：刚才在讲最早可能是这些酒店集团纷纷根据航空集团的这种方式，开始说“哎，你住一晚我就可以给你一些积分”，然后呢会员体系可能分成了123等。
[29:50] [主播]：但我觉得这里必须引入一个真正把酒店的忠诚体系上了一个台阶的这么一个集团，就是喜达屋。
[29:58] [主播]：就是刚才两位稍微提到一点，喜达屋在2016年和万豪并购，但其实它推出酒店的会员忠诚体系是在90年代末。
[30:07] [主播]：它叫做Starwood Preferred Guest。
[30:09] [嘉宾-Cindy]：对。
[30:10] [主播]：就这个其实非常非常的有特色，因为我当时入坑，住它的一些酒店就可以感觉到。
[30:17] [主播]：第一，它会说你用我的积分来兑房晚，我是不给你一些说是兑不了的日子的，因为就像咱们用航航里程去兑机票也是一样嘛，就有的时候它没有位置不给你订。
[30:29] [主播]：那酒店集团一开始也是学航空司，说我有一些晚上比较，我一看那天晚上人就会多的，我就把它给封锁掉。
[30:37] [主播]：但这个你想会很影响会员的感受。
[30:40] [嘉宾-猫草]：是体验，相当于你只让我闲时的时候去。
[30:41] [主播]：是的，我不知道我的这个积分攒了之后我到底能换哪几晚，对吧？
[30:46] [嘉宾-猫草]：没错。
[30:47] [主播]：所以呢，它是第一个说无房晚兑换黑名单，而且没有容量控制。
[30:51] [主播]：就是我不是说只有几间房可以给你给你换的，而且还可以在线兑换，就那个时候在90年代末互联网还那么初期的社会，它就开始提供在线兑换的一个系统。
[31:02] [嘉宾-猫草]：对，早期是你打电话给客服，然后看你能不能兑换，但是它是非常早就推了在线兑。
[31:07] [主播]：对，但是你可以想象就是这个东西到现在就变变味了。
[31:12] [主播]：就现在的打量酒店集团确实大部分的房晚都可以让你换，但它会变成动态兑换。
[31:18] [主播]：就是说你这这一晚可能花1万积分，但另外一晚我人认为它是高峰期，它就变成了2万积分。
[31:24] [嘉宾-Cindy]：是的。
[31:25] [主播]：然后再进一步会跟他的希尔希尔顿在这里边起了一个非常坏的头，就是他第一个推出了跟房价挂钩。
[31:32] [主播]：就是彻底。
[31:33] [嘉宾-猫草]：哦对，它的积分价值跟房价挂钩的。
[31:35] [主播]：对，那最早大家的酒店集团都是按照等级来分的嘛，比如说Cat 1就是第一级的是5000分最低的，然后Cat 2是1万分等等的。
[31:44] [主播]：那我把所有的酒店放入整个这个兑换的表格里面，那就固定下来了，对吧？1万分，2万分。
[31:51] [主播]：但是呢，后来酒店集团就发现商业的这个价值没有办法榨取到最大，然后慢慢地变成了动态兑换，动态兑换还不够，我就跟我的现金价值挂钩，等等的，用这样一步一步的。
[32:02] [主播]：我觉得完全背离了喜达屋最早推出他的这个会员体系的时候，想的，让所有的会员都可以享受到的这么一个目的。
[32:10] [嘉宾-猫草]：我觉得SPG最早说真的就是服务深度会员的，因为酒店，就是我给大家讲一下就是酒店的这个需求，大概有一半左右是跟差旅相关的，尤其是星级酒店。
[32:19] [主播]：可能不止一半。
[32:21] [嘉宾-猫草]：星级酒店大概60%到70%是跟差旅相关的，如果纯讲收入可能会更高一些，因为收入里面就是特别高兴的酒店，豪华型酒店，而且尤其是城市豪华，它大概有40%左右的收入其实是来自于餐饮和会议收入。
[32:36] [嘉宾-猫草]：它压根就不是房晚收入，就是你吃的那个早餐，它都会拆分了以后再计入收入，所以他们餐饮部门的收入占比整体是高的，而差旅旅客对他们来说非常重要。
[32:49] [嘉宾-猫草]：因此你可以看作就是酒店跟航空一样，都是20%的人提供了80%的需求量。
[32:56] [主播]：嗯。
[32:56] [嘉宾-猫草]：所以一开始SPG的这个计划就是为了服务它最资深的这部分用户，给他们提供很好的价值体验。
[33:03] [主播]：哎呀，我觉得你这么一说，让我稍微理解了，当然这可能只是一种臆测啊，就是为什么它最后倒了。
[33:08] [主播]：或者不说倒了，被万豪收了，因为它里面是有一个矛盾的，就是一方面你又希望服务你的这些商商务旅客。
[33:17] [主播]：但另外一方面你又推出了大量很有特色的酒店，你很难想象一个出差客去住W对不对？
[33:23] [主播]：就是类似这样的一些由喜达屋推出来的，极具特色的酒店，它反而不是为商务客考虑的。
[33:31] [主播]：但反观你来看万豪，所有酒店长得都一样，包括猫草老师刚刚讲的，它可能里面的那种装修标准什么的都定得特别的严格，所以它会长得一模一样嘛，看起来特别无聊，因为万豪最早在美国就是大车店嘛，就相当于就是从汽车旅店这边慢慢发展起来的。
[33:46] [嘉宾-猫草]：哦现在也越来越像了。
[33:47] [主播]：它在美国现在依然是很多大车店。
[33:50] [主播]：但是你就能想象它是更能算得过来账的，因为我的服务的目目标客群跟我的做的这个会员体系，包括我的酒店的特色是大家是统一的，是和谐的。
[34:03] [主播]：但喜达屋当时我觉得就有一点点之间产生了这种一个悖论，就是对，所以最终它这个扩张速度太快没有跟上。
[34:11] [主播]：我觉得这个就有点像理想主义者的悖论，它提供了非常多元的好的供给，然后它有一个非常理想主义的愿望。
[34:18] [主播]：但是最后整个商业的账没平过来，然后就被那些更中庸，更大的集团给收购了，变成了其中一条线。
[34:25] [主播]：对，它在在市场整个比较好的时候，可能它这种模式会能成功，而且会影响，你像喜达屋当时推出了这个它的会员体系之后，其他集团其实是纷纷效仿的。
[34:36] [主播]：就把自己原来那种比较单一的这种会员体系，你像洲际就把它这个叫优悦会的这么一个体系，也是开始说“哎，你积分获取的渠道可以更多，不光是住酒店，也可以什么租车啊，信用卡啊，都可以。”
[34:50] [嘉宾-猫草]：就变成了供应链金融。
[34:51] [主播]：对，都可以拿来去获得积分，然后兑换呢，你不仅可以换房晚，你还可以换里程等等的。这些其实最早都是SPG学过来的。
[34:59] [主播]：但是等到市场的下行期，就是喜达屋为什么最后会被收购？很大程度上还是因为金融危机之后，其实整个商旅的衰退非常的严重，特别是美国。
[35:12] [主播]：所以你原来的这套玩法就玩不转了，然后就开始被资本这个抛弃，就要被收购过来了。
[35:19] [嘉宾-猫草]：其实万豪去收SPG的时候是看中它的会员体系以及它的会员的忠诚度做得非常好。
[35:25] [嘉宾-猫草]：嗯，这，这也是为什么像大老师这样的忠诚会员会非常抵制万豪的原因，就是因为扩圈嘛，对吧？
[35:32] [嘉宾-猫草]：然后就让人变得不那么纯净了。
[35:34] [嘉宾-猫草]：嗯，但是呢，酒店业的发展就是这个样子的。酒店业发展一定是在经济萧条期的时候，有巨头出手抄底，去买好的品牌。
[35:44] [嘉宾-猫草]：所有的酒店都是这样的，酒店的所以并购都发生在行业特别萧条的时候，因为这些大酒店都知道酒店本身是周期行业，它只有在逆势的时候出手。
[35:55] [嘉宾-猫草]：因为大企业能活着，它可能发了Reits，或者它手里面有足够的现金流，它能活着。
[36:01] [嘉宾-猫草]：所以它会在逆势的时候以比较低的价格出手，收它觉得最好的那部分资产，然后等到顺势的时候迎来它RevPAR的双击。
[36:09] [主播]：对。
[36:10] [嘉宾-Cindy]：对，所以有钱非常重要。
[36:12] [主播]：就是能够保持自己的现金流跟一定的资金是非常重要的。
[36:18] [主播]：它可能在那个时候有一个收购。
[36:19] [嘉宾-Cindy]：嗯，这个其实也是为什么你像万豪这样的酒店，它是以轻资产的加盟体系为主的，就是因为它避免了它在遇到周期下行，下行非常严重的时候，受到非常严重的损伤嘛。
[36:33] [嘉宾-Cindy]：因为它反正就是加盟，它大不了就收不到这部分的钱了，但它不会像业主一样受上的那么的严重。
[36:39] [嘉宾-Cindy]：嗯，所以这个可能也是为什么它能够有钱去竞价喜达屋非常重要的原因，就是它手里有钱，有资本。
[36:48] [主播]：当时好像是希尔顿是刚刚换了一个东家。
[36:51] [嘉宾-Cindy]：应该是黑石。
[36:51] [主播]：嗯，对对对，所以呢，他们没有这个收购意愿，所以万豪就说那肯定就是我来出手。
[36:58] [主播]：没想到收到了中国资本的这个。
[37:02] [嘉宾-猫草]：但是后来很多中国资本也退出了，海外已经都卖。
[37:03] [主播]：对，因为那那段时间都是中国资本那一轮的出海试图买资产的狂潮嘛，万达什么不都出去买。
[37:12] [嘉宾-猫草]：对，海航。
[37:12] [主播]：结果最后全都又吐出来，就是这样一个过程。
[37:17] [嘉宾-Cindy]：所以我也觉得就是为什么酒店它可能天然的就是一个大的集团、多品牌的一个矩阵。
[37:24] [嘉宾-Cindy]：它有一部分的原因是它的人群，首先你得有一个高频次的基础，就是这一批人，我在你的这个酒店里面消费。
[37:33] [嘉宾-Cindy]：因为你有很多的品牌，所以我可以一年里面频繁的多次的在你这消费，然后呢在不同的场景上了之后，我会需要把你常住的可能是商务型的酒店，然后给你晋升晋升到我的这个更多元的，然后度假型的，甚至是目的地型的顶奢的这个酒店里面去，它就形成了这样的闭环了。
[37:55] [嘉宾-Cindy]：就是它需要前期的频次的积累，然后以及说会员的留存。
[38:00] [嘉宾-Cindy]：那这个可能也是，如果说你只做这样的顶奢，你的频次其实是很难去进行会员的留存的，这个会产生一定的问题。
[38:09] [嘉宾-猫草]：这个有意思，这个就有点像一个集团内部的高频打低频了。
[38:14] [嘉宾-猫草]：就是我比如说我有一些长得千篇一律的万豪、万怡、万丽，只是根据你的这个经济能力嘛，你选择了不同的商旅行酒店。
[38:21] [嘉宾-猫草]：但是你每年总有两次度假需求，度假需求是一个非常低频的需求，但由于你已经在万豪积累了60个间夜了。
[38:30] [主播]：嗯。
[38:31] [嘉宾-猫草]：我希望把你导到我更高级的需求里去。
[38:34] [嘉宾-猫草]：或者我希望有一次你不是来出差的，比如说你是来玩的，周围要泡吧，那你就去W。
[38:39] [嘉宾-猫草]：它会希望有一个从高频，把你导到了低频的更好的生意里。
[38:44] [主播]：喜达屋里面的那些酒店对它来说实在是一个太好的补充了，因为你想再去自己打造一个特别是如果是偏奢华的，偏度假的，一个是位置，它就是稀缺的，那个酒店把那个位置占掉了。
[38:56] [主播]：你就已经没有办法再去到二了。
[38:57] [主播]：就做别的了，除非那个房业主房东说我我不想要这个品牌了。
[39:02] [主播]：另外就是，很多品牌是非常根植于人心的，它是花了非常多的品牌营销的费用去去做出来的。
[39:11] [主播]：比如说你现在想到瑞吉，就一定能想到它的管家式服务，对吧？
[39:15] [主播]：你说到丽思卡尔顿，你就一定是日本人，日本人对丽思卡尔顿是有一种特别的偏爱的。
[39:22] [嘉宾-猫草]：我觉得日本人痴迷丽思卡尔顿。
[39:24] [主播]：对，因为丽思在他们看来就是那种代表了西式的顶奢，然后在你在里面能够享受到的服务，包括你能看到的这种场景。
[39:34] [主播]：我我跟一个日本朋友聊过，他就说他能想象的就是国家级的领导人或者是一些特别的贵族才能去丽思里面去比如说办结婚典礼，或者是怎么怎么样的。
[39:46] [主播]：所以对他们来说就是我...
[39:48] [嘉宾-猫草]：他们这个刻板印象和我完全不一样。
[39:50] [嘉宾-猫草]：我提到丽思卡尔顿，我只会觉得Coco Chanel在那住了几十年，最后在巴黎的丽思去世的。
[39:55] [主播]：对，这这我觉得也是一个很重要的。
[39:57] [嘉宾-猫草]：这是一个品牌非常重要的资产。
[39:58] [主播]：一个非常非常重要的遗产。
[40:01] [嘉宾-猫草]：一会儿等我们结束录制，我可以悄悄给大老师推荐一家，我觉得评替巴黎丽思最好的丽思，而且还真的很便宜。
[40:08] [主播]：我们在节目尾声，推出了一个彩蛋。
[40:12] [嘉宾-猫草]：不，丽思没打钱不合适吧？
[40:14] [主播]：所以刚才说到就是会员体系在2016年，其实2016年万豪收购了喜达屋之后，对整个业界是一个巨大的震撼，就等于一个巨无霸就诞生了。
[40:27] [主播]：当然你现在看起来并没有说因此希尔顿啊、凯悦之类的就活不下去的或者怎么样，大家还是各自找到了自己的这个生存的知道。
[40:37] [嘉宾-猫草]：你让我想到了上次我们在雅加达，是住的是一个洲际系的酒店。
[40:42] [主播]：哦洲际。
[40:42] [嘉宾-猫草]：洲际最典型。
[40:43] [主播]：因为那个酒店实在太破了，然后我俩已经在那儿住下，后来又来了另外一个人，他也是看过酒店的，就是他研究过酒店的。
[40:47] [主播]：他看完这个洲际装修，他就“嗯，洲际，果然是对加盟商放得最松的。”
[40:55] [主播]：真的，洲际应该是所有酒店集团里面这个胶标准差拉得最大的。
[05:59] [主播]：对，所以你很难想象丽晶这样的品牌在洲际里面就是它是非常把它独立出来的，就Regent这个品牌。
[41:11] [主播]：就是因为它不想被洲际的其他酒店集团的这个一个负，可以说是负影响力带掉，所以你会发现洲际集团对丽晶是做了一个特殊的处理。
[41:21] [嘉宾-Cindy]：对，独立档的。
[41:22] [主播]：对，独立档的处理。
[41:23] [嘉宾-Cindy]：还有就是从消费者本身入住的这个体验来看，我觉得很多时候对于一个品牌有认知，买的就是它一个服务的均一性。
[41:31] [嘉宾-Cindy]：就是这个品质你必须帮我维持在这个水准线上，否则我为什么要订你这个酒店呢？
[41:38] [主播]：对，所以让我们拉回到我们的主线。
[41:40] [主播]：关于这个会员它背后的这种消费者的心理嘛，就它到底它的商业逻辑是什么？
[41:47] [主播]：我觉得还蛮有趣的，就是第一个，其实我们刚才讨论了这么多，很简单的一个逻辑，大家都能明白的就是为什么我们每次入住连锁酒店都会如果你不是会员，都会被前台问你要不要加入我们这个会员？
[41:57] [嘉宾-Cindy]：对。
[41:58] [主播]：它就是想培养你的忠诚度，提升所谓的客户的终身价值，对吧？
[42:04] [主播]：因为我相信这些酒店集团都有非常多的数据能够证明，只要这个客户是我的会员，他的这个消费倾向和频率应该会远远地高于不是会员。
[42:14] [嘉宾-猫草]：哦，它有非常多的数据，甚至就连星巴克的高新计划都比普通的消费者，它的购买频次和单次价格都要高得多。
[42:24] [主播]：对，就是消费金额不光是一个频次的问题，就是我看洲际的一个数据，它的这个副总裁就说，他们还有专门针对忠诚计划的副总裁。
[42:33] [主播]：就是等于这个人就是负责整个会员的一个副总裁，它就说加入计划后，给予酒店的消费金额其实会比入会前提升36%。
[42:42] [主播]：那这个对于酒店来说，对于这个集团来说，我就愿意用一些积分去回馈你嘛，因为理论上说这个酒店，我们我们每次入住之后得到的这个积分都是酒店在实打实的Cashback，等于给你给你返回回来。
[42:56] [主播]：虽然这个积分的价值在不断地贬值或者说它在不断地玩各种花样，但是不管怎么样，它都是一个一个给你的一个反馈。
[43:04] [主播]：那这个目的最终还是羊毛出在羊身上，它希望你多来这里去消费。
[43:10] [主播]：所以为此其实它会玩出各种各样的花样，比如说第一个，很有趣的就是会员的这个层级。
[43:19] [主播]：就相当于你住比如说10晚你是一个银卡，然后20晚是一个金卡，50晚可能是一个钻卡。
[43:27] [主播]：然后呢，你住到最高级的之后，它就开始跟你说，哎，你住，你比如说每个酒店去玩不样啊，像万豪就是规定10年你都是我的白金，一共房晚住到多少晚之后你就变成终身。
[43:39] [主播]：哎，人家凯悦就必须你要消费满20万美金。
[43:43] [主播]：就是他说的不是20万美金，它说的是一个基本积分，但因为它的基本积分是完全跟花的钱挂钩的。
[43:49] [主播]：所以你就可以算出来，就是你这一辈子就是得在凯悦花上20万美金，你才能成为它的终身万豪客。
[43:56] [主播]：那20万美金想想看140万人民币。
[43:59] [嘉宾-猫草]：啊，那可太难花到了。
[44:01] [主播]：还是真的很难花到。
[44:01] [嘉宾-猫草]：非常难。
[44:02] [主播]：而且对于一个如果你是出差党的话，除非你的你的这个公司真的是就是给了你非常高的上限，然后让你一年360天住在白月里面。
[44:13] [主播]：否则20万，对，它就设了一个很高的门槛。
[44:16] [嘉宾-Cindy]：我觉得我在工作以后心态发生了很大的变化，以前我是出差的时候绝不为公司多贴一分钱。
[44:23] [嘉宾-Cindy]：因为我觉得我是来出差的，我一毛钱都不要贴给一个狗公司。
[44:27] [嘉宾-Cindy]：但是后来我就慢慢觉得，因为出差的时间太长了，你就会觉得这也是我的人生。
[44:31] [嘉宾-Cindy]：如果我虐待自己，就是在出差的时候总是贴着这个线去虐待自己，那我人生当中相当一部分就被浪费了。
[44:40] [嘉宾-Cindy]：所以我就开始慢慢能接受我这个破公司贴点钱了。
[44:44] [主播]：就是出差，出差住酒店还自己贴点，贴点。
[44:48] [嘉宾-Cindy]：不是你要知道就是真正券商里面，就哪怕我们行业吧，它真正报销标准高的仍然是那些做一些涉外业务的。
[44:55] [嘉宾-Cindy]：如果你的股东背景是纯内资，且没有什么涉外业务，它的标准不会很高的。
[45:00] [嘉宾-Cindy]：以我们出差的频次来看，因为你一年你可能要住100个间夜以上。
[45:07] [嘉宾-Cindy]：那100个间夜，你不好好对待自己就是三分之一的时光被浪费了。
[45:12] [主播]：100个间夜对于公司来说，哇，这个人如果标准提高，哪怕提高10块钱，可能就是一个很高的整个对于这个员工的投入。
[45:20] [嘉宾-Cindy]：没错。
[45:20] [主播]：所以两，两方的博弈的结果就是猫草老师选择了善待自己，贴点钱。
[45:26] [嘉宾-Cindy]：我觉得我就更惨了，因为我的标准实在是我觉得是地板上。
[45:30] [嘉宾-Cindy]：然后在，一二线城市里面，尤其是北京，想要找到一个在几环以内，二三环以内。
[45:39] [主播]：所以这才是前几年这些包括亚朵啊，包括全季啊，这些酒店我觉得发展的一个核心的驱动力嘛。
[45:46] [主播]：它还是提供了一个相对比较标准化的，你到哪里去它的床品啊等等的都能够有一定的水准。
[45:53] [主播]：但是呢它的价格又比国际连锁要低一些，我不知道在北京有没有达到Cindy说的这个标准啊。
[45:59] [嘉宾-Cindy]：很难，很难。
[46:00] [主播]：很难。
[46:00] [嘉宾-Cindy]：很难，我举一个例子，就是在我离职之前，在北京入住酒店，基本上你是住不到亚朵的。
[46:06] [主播]：亚朵不是还有个什么轻什么？
[46:08] [嘉宾-Cindy]：轻居也很，而且基本上你要住到四环五环以外，才能够有亚朵的轻居才能住上。
[46:14] [嘉宾-Cindy]：但是这个距离又非常的远，所以你不会去选择它。
[46:18] [嘉宾-Cindy]：然后再加上因为酒店集团它其实，比如说亚朵、亚朵S，亚朵，亚朵X和亚朵轻居。
[46:25] [嘉宾-Cindy]：这四个档次它用的隔音材料非常不同，所以当你住亚朵轻居的时候，它的隔音材料又满足不了你的要求。
[46:34] [嘉宾-Cindy]：所以这个时候你就只能要不然就住得远一点，然后可能稍微挑一个好一点的酒店，要不然你就真的只能窝居在二环以内的。
[46:44] [嘉宾-Cindy]：全季都很难住了，可能也得是汉庭了。
[46:47] [主播]：哎，但我很好奇，就是国内这些酒店集团，它是怎么考虑它的会员体系的？
[46:52] [主播]：好像我感觉也有，都有，但是呢，首先它的花样没有像海外玩了这么多，它的每个级别之间的差距好像也没有拉到这么大。
[47:06] [嘉宾-Cindy]：这个是因为我们国家的整个酒店集团的发展还是非常的大众跟经济型连锁。
[47:13] [嘉宾-Cindy]：像最大的几个酒店集团，一个是锦江，因为它现在大概可能会有12000家的酒店。
[47:18] [嘉宾-Cindy]：不过这12000家呢，它可能会有1500家左右会在法国欧洲那边，因为它收了海外的一个酒店。
[47:25] [主播]：洲际。
[47:26] [嘉宾-Cindy]：然后国内大家可能有一万家的酒店，这1万家的酒店里面它也是通过三次收购收购过来的。
[47:32] [嘉宾-Cindy]：所以相对来说它的品牌非常的散，但是又集中到了经济型跟中档的这个酒店里面去。
[47:39] [嘉宾-Cindy]：所以你会发现它的会员体系呢，因为多次收购，所以没有打得很通。
[47:46] [主播]：啊，这是一个很重要的理由。
[47:47] [嘉宾-Cindy]：对，所以你刚才说到前面其实有讲到万豪跟喜达屋合并的时候，就是会员发生了一个比较大的冲突嘛。
[47:55] [嘉宾-Cindy]：这个其实是万豪必须要去做以及它一个阵痛要做的一个过程，就是你必须把你的会员才能打通，才能够使得它的人群重叠。
[48:05] [嘉宾-Cindy]：要不然我是其实我只是买了喜达屋的一个牌子，我没有买到那一群人嘛。
[48:11] [主播]：对。
[48:12] [主播]：我我感觉那段时间这两个集团里面肯定有很多人加班加点做了很长时间的牛马，才从IT系统到怎么把两个会员体系到底怎么Match到一起去。
[48:21] [主播]：积分怎么样可以让它，因为很长时间都是1:3嘛，就是喜达屋的积分可以1:3换成万豪积分。
[48:29] [主播]：就类似这样，为什么射成1:3？我想信这背后有非常多的计算。
[48:33] [嘉宾-Cindy]：嗯，然后你像国内的酒店集团它在做合并的时候，有一些酒店集团它这方面就没有做得很好，所以拉锯战拉得非常的长，所以导致它的人群可能仍然有只有很少量通过它自己的预定系统，就是CRS的中央预定系统去预定。
[48:51] [嘉宾-Cindy]：可能最多只有20%左右吧，那这个其实它就不是很成功嘛。
[48:55] [嘉宾-Cindy]：那像比较成功的例子其实就是华住，因为华住它也有过一些收购的经验跟案例，比如说它当时收购桔子酒店。
[49:04] [嘉宾-Cindy]：就是一个。
[49:05] [主播]：哎呀，曾经非常喜欢的酒店集团。
[49:08] [嘉宾-Cindy]：对，就是它很有风格很有设计。
[49:10] [主播]：对。
[49:10] [嘉宾-Cindy]：然后很多人比较诟病华住和桔子的一点就是当它进入到了华住的体系里面，它就变得索然无味了。
[49:18] [嘉宾-Cindy]：嗯，那但是呢，华住做得狠大刀阔斧的一点，就是它收购了桔子之后的第一年，就是2012年以内吧，就把它的会员给打通了，就把它完全的融入到了华住的整体的华住汇里面去。
[49:31] [嘉宾-Cindy]：所以这个东西是能够导致它在未来把它的会员，甚至是把它的品牌去做连锁化，一个非常重要的基础。
[49:40] [主播]：对。
[49:41] [嘉宾-猫草]：华住的会员通过直销渠道预定的比例应该是全球最高。
[49:47] [主播]：全球最高。
[49:47] [嘉宾-猫草]：全球最高，比万豪还要。
[49:49] [主播]：哦。
[49:49] [嘉宾-猫草]：就是说万豪、希尔顿很多可能还不是他们的常旅客，他们可能是从OTA入口订的。
[49:55] [嘉宾-猫草]：但是华住的用户非常忠诚，大多数的华住用户真的会有一个华住会，就不管是小程序还是一个App，然后他们会通过这个华住会来进行预定。
[50:06] [嘉宾-猫草]：我记得应该能到60%到70%吧。
[50:08] [嘉宾-Cindy]：嗯，高峰的时候，如果是中央预定系统加上你B端的入口啊，可能会到70%左右，但是这两年呢因为受到OTA的冲击非常非常的大，然后就会下降，可能到50多。
[50:23] [嘉宾-Cindy]：但也是很高的。
[50:24] [主播]：哎，那这些人通过这个华住会去订，是因为华住给它的回馈会比较好吗？
[50:30] [嘉宾-Cindy]：呃，有一个很重要的点是早餐。
[50:33] [主播]：啊。
[50:34] [嘉宾-Cindy]：嗯，因为基本上大部分如果你是银会员，应该是金会员，它就会送你一份免费的早餐嘛，就是你预定的时候。
[50:42] [嘉宾-Cindy]：然后如果你是白金会员，应该就是送你两份早餐，所以这个价格就会比上你在OTA预定的时候更划算了。
[50:51] [主播]：我觉得早餐这件事情也非常的有意思啊，就是你会发现现在有两个趋势，一个趋势就是刚才Cindy说的，有一些比如说高级会员，他会送早餐，这个其实最早国际连锁也是这样的嘛，可能你到白金之上才能有这个事情。
[51:06] [主播]：然后但是你会发现他们现在有些品牌就是希望给每个人都提供早餐，最典型的就是凯悦你像它加轩就是只要你入住我的酒店，我就给你早餐。
[51:17] [主播]：哎，如果我没记错的话，反正它有一些品牌是这个样子的，用这种方式来吸引你，就相当于对，你不用担心说你订一个房间以后没有早餐。
[51:24] [主播]：因为感觉早餐对于绝大多数人来说还是一个刚需。
[51:28] [嘉宾-Cindy]：对，必须的。
[51:29] [嘉宾-Cindy]：嗯。
[51:29] [主播]：所以它感觉是就这个酒店集团能够吸引到它的会员的很重要的一个方式。
[51:36] [嘉宾-Cindy]：对，而且现在包括过去呢，其实是酒店集团用它自己的会员在抵抗OTA的系统嘛。
[51:42] [嘉宾-Cindy]：然后OTA系统呢它过去也没有把自己会员打造得非常的好。
[51:47] [嘉宾-Cindy]：但是经过了疫情之后，其实国内的OTA它发生在了会员体系上的变化，就是它的会员确实开始值钱了。
[51:55] [主播]：你说的OTA的会员。
[51:55] [嘉宾-Cindy]：就比如说携程，啊给你们介绍一下我们经济下行期牛马们的生活。
[52:00] [主播]：哎，嗯，携程对，我们也用很多年的，这个对，携程的、飞猪的。
