[00:00:00] （背景音乐：轻柔吉他演奏）
[32:58:24] [嘉宾]：对。它会聚焦在那个主要说话那个人。就是说到数据上，说到数据上。就是为什么从硬件开始？因为如果说是你的硬件的核心是一个能说话的东西，你利用的是现在大模型的对话能力，那你可能可以从软件开始着手。因为你的手机，你的电脑终端，其实都是有麦克风的，有计算能力的，能够帮你去deliver很多你在工作上通过语音能够回复你东西的，或者文本。但是你会发现一个创新的硬件，像我们定义的这个硬件场景，它很垂直，它做的叫做人的行为数据去收集，然后逐渐地去形成一个闭环的数据的结构，来让这个宠物更像宠物。这件是是没有现成数据的。所以我们需要先做一个可爱的东西，让能够给我们提供数据的用户，能够用起来。它要有足够的在场时长，然后有足够的开机率，有足够的主动去摸它，然后对它笑。这些都属于行为数据。这些数据我们去市面上看了一下，就是有这种距离的，我们把它差不多叫半米左右的一个120度左右的摄像头，这样的一个主人的行为数据，现在市面上是没有的。我们能看到的就是可能家里的监控摄像头，它可能是一个大场景。那大场景它就不会有说一对一人人的行为数据，它也不会那么精准。包括你的微表情，这些东西都是没有的。那长时间开机的，其实就只有我们现在自己创造的这个形态。那如果说举个例子，我们从一个好看的硬件，从一个有垂直用户人群想要去买单的硬件，先交付出去，有足够高的粘性。例如我们有10万个用户。这10万个用户的开机率足够高，每天都在我们续述的这个故事里边去养这个宠物，并且能够给我们交付很多在场的它的行为数据。那我们这些东西就是超过市面上所有已有的这些数据，能够帮助我们去训练一个宠物应激反应的模型。那这个就是第一步，就是你需要有现有硬件。你第二步才会有匹配这个硬件的行为数据。你第三步才叫智能。你才会有AI的东西。所以我们这个产品的一个非共识，就是我们没有直接把端到端的大模型，直接用到这个机器人里边，去让它能够对话，去交付给用户。我们是非常反共识的去做这个产品的。我们很克制，我们没有用对话的模型。而是先让它模拟一个宠物不能说话，先交付一个低预期，然后让用户有足够的开机率。因为当时我们做了一个小测试，它会像动物一样去通过自己的声调来反馈一些情绪的变化。因为我们觉得如果这个宠物一旦开口说人话，它具有逻辑的推理能力，然后它会有自己的喜好，然后有很明确的这种语言描述的边界感的时候，你就会觉得它不像个宠物，它就像一个非常智能的一个智能体，塞到了一个毛绒玩具里边。你会对它失去信任感。如果它的语言聊天的模型还做得没有那么好，它又偶尔会。
[35:45:76] [主播]：这块我打个比方。不好意思，我打断一下。你想象说你你养了个娃，这娃两岁到三岁这个阶段的时候，突然开口跟你进行辩论。大概这个娃给你的印象，应该虽然它是你的娃，你应也有点心有余悸，或者你应也看待它的视角和方法和感情，应该发生了巨大变化。它不再像你的两岁三岁的娃一样。
[36:08:70] [嘉宾]：对。因为我们认为这个机器人它真正在现在当下，它的硬件价值就是我们交付一个弱机器人。弱机器人这个概念，我我认为是个博来品的概念。就是很多日本的企业都在，就因为日本的市场做机器人，无论是从学术端，还是从产业端来说的话，都比我们国内要至少发达20年到30年。所以很多日本的这种孤独人群，都已经开始能够接受这样的叫做陪伴型宠物这样的东西了。就是为什么它是一个弱机器人的概念？因为日本社会会发现，就是当它变成一个强智能的机器人，用户是不希望长时间把它放在家里的。就是它不会形成一种融入生活习惯。
[36:51:24] [主播]：所以你放个话痨在边上是有有点这个有打扰的时候，对。
[36:55:65] [嘉宾]：就会打扰，就跟把一个硬邦邦的具身智能的机器人放在家里，会有同样的这样的距离感。所以我们希望它能够比人人人类要弱。它的定位可能就是一个零到三岁的小孩。三岁以下的话，它的语言能力，它对于世界的所有反馈是容易唤醒人去照顾它的这种欲望。一旦你对于照顾一个机器人产生了欲望的时候，你整个的使用行为就会发生一个特别大的变化。就如果它是一个刺激你多巴胺分泌的一个这样的产品的话，它会有明显的一个叫做过完新鲜器之后的衰减，它就会落灰。但如果它是一个不断刺激你想要去照顾它的机器人，然后你会分泌催产素，然后你会有一种自己被需要的这种满足感，然后你会保持长时间的开机，然后慢慢地把它当成一个宠物去养。所以我们不说话的这一点就是让它弱。这是我们定义的一个逻辑。
[37:46:61] [主播]：对，其实他刚才讲到的几个问题，我从投资人视角稍微抽象一下，也包含了一些我们自己的私货和观点。就第一个问题是，为什么是硬件呢？我举一个更大家更容易感知的例子好了。就是比如说今天我们讲移动互联网上所有这些大厂，就是这些最著名的，新兴公司。比如说打车的，外卖的，也包括大家看的小视频的，我们不讲具体名字了。那这些代表性的移动互联网的新兴巨头，你有没有想过它世怎么出来的？大家说是智能手机它才出来的。这句话肯定是堆的。但是为什么它们要等到智能手机？它在等什么？就是比如说，王兴第三次创业挪到这了。张一鸣第三次创业才挪到这了。那他们干嘛？我猜如果是他们自己，他们肯定想第一次创业就成功，就变成今天这样。而不是要等，近十年，等到第三次。那我的问题是，他们再等什么呢？那他可能是在等这些东西。就是因为智能手机的普及不是由这几个平台公司造成的。我想这大家可以同意。是你先有了智能手机，他们才出现的。但是因为你有了智能手机之后，带来个什么变化呢？你的智能手机，所以叫智能手机，跟你原来我们用诺基亚和摩托罗拉，比如说，我也用了十几年诺基亚。你用诺基亚的最主要的原因，就是因为它摔不坏，对吧。那所以你用诺基亚。因为它还算是哥比较贵的东西。所以你当然想挑摔不坏的。但是你用到智能手机之后，除了它更容易摔坏之外，它里边多了这几件东西。它里边多了叫高清光学可变焦摄像头，高清光学可变焦摄像头。以前我在这用诺基亚的时候是120万像素的。拍个照片，你连人脸都找不出来在哪儿。好，那高清可变焦光学摄像头，和微信好，叫MEMS阵列麦克风传感器，就一种新的芯片，就是高清音质的。然后除此之外，你还有陀螺仪和GPS，对吧。GPS是干啥用的？只有有了GPS，你才能说我在这儿，外卖小哥在那儿，我的饭店在那儿。他怎么还不赶紧去取我的饭，取到了之后，离我能吃到这顿饭，他怎么不第一个给我送，他我还得等个20分钟才能送到我手里。那你想过没有，他们要等这些事？他们要等什么？他们要等你的这个位置有数据。他们要等外卖小哥的位置有数据。他们要等饭店的位置有数据。你打个车也一样。当然他们还要等到光学高清摄像头。微信还要等到高清音质，或者叫音频的出现和传输。好，我把这句话重新再说一遍。换成人话，简单来讲，你变成了智能手机之后，因为它装了非常多的新传感器。这些新传感器产生了非常重要的，以前从未有过的数据。比如说，我的位置数据，你的图像数据，我的音频数据，外卖小哥的位置数据，外卖小哥实时位置数据。我才有这些新数据基础上的新商业模式。比如说，两个位置之间的关系，是打车，或者是外卖。高清画质出来的东西，或者是美瞳。或者是大家都用的小视频。不管它是小视频的哪一个平台。大概我想你搞清楚了。那当然只不过唯一的差别是，这个传感器的普及是由另外几家公司做的。传感器的普及不是互联网平台做的。互联网平台只是等到了智能手机普及了之后，他们得到了这些新数据，来构建新数据基础上的新商业模式。我想我大概也讲明白了。你要，我说第二个例子，其实刚才我已经讲过了，如果你留意的话。你说今天的大模型是从哪儿来的呀？是互联网集聚了40多年的公开，大量，几乎无穷尽的文本数据。才变成了今天模型能学习和处理的基础。当然还有算力的进步，带来了算法的进步。所以你看，这些事的底层都是要等这件事。要不然他们几个注明创业者也都希望自己的第一次创业就成功了，而不是都要等到等十年之后的第三次。那回过头来，刚才他跟你们讲的最重要的一件事，是说，新的硬件会带来新的数据类型。因为它把更多的不同类型，或已有类型的更多传感器，放在了更多用户或不同的场景里。他们捕捉和产生到了新数据。在这些事情上，当然可以实现新的产品和消费能力。或者叫消费模式。那当然我们喜欢AI硬件，还有另外一个问题。因为你也发现中国最擅长的是两件事。第一件事，国务院出了个政策，就是关于人工智能家，对吧。它就加了若干个不同的方向。再往前，我们的总书记说了个最重要的话，就是说中国做科技创新自立自强，最好的方式之一，就是叫应用驱动技术创新。说白了，是用应用带着技术跑。好，那中国最好的应用类型是啥呢？中国最好的应用类型是只有中国有了，就叫做，既有重要的传感器，新芯片产业链。因为刚才我们讲了新数据来自于这儿。又有一条叫完整且复杂的精密加工和消费电子相关产业链。这两件事，任何一个国家都不全了。你说美国有一部分，它只有那个芯片的一小部分设计和一小部分代工。好，那这两条产业链，如果还凑巧能搭上软技术，就是所谓AI，它就能变成独有的优势。所以你才发现，比如说扫地机器人，中国已经到国外去只剩中国自己卷自己了。当然你也可以认为新能耗汽车，将来很有可能也是自己卷自己。如果华为手机在2019年不受限，很有可能今天的手机也在国外，智能手机也是中国自己卷自己了。那，这大概就是刚才我们讲的我们喜欢AI硬件的另外一个道理。比如说12年前我投饮食，它中间经历了巨大无比的挑战，跟你一样的血泪史。那它在经历挑战当中最大的一个变化之一，就是把它原来会的，不像拼接的这个软件能力，经过一年半尝试，在中国卖软件很难之后，毅然决然地关闭了南京公司，去深圳，重新注册了饮食科技。为了嵌到中国的消费电子制造产业链里，最终变成了一台全景相机。而不是一个软件拼接的软件技术公司。然后当然就后来变成了今天1000多亿的饮食。那核心的问题，跟我刚才讲的那一串话都是一样的。所以凑巧，叫做中国既有能力，且擅长，还能卷全世界。又只有这件事情。今天发生了之后，也许凑巧能把软件和硬件，或者我们叫软的技术和硬的产品放在一块，重新定义一个新的产品类别。当然中国定义了无数多，对吧。比如说今天时髦的AI硬件有很多。新硬件有很多，我们就不一一举例子。来，我来问血泪史的部分了，跟我刚才这个话题有一丢丢关系了。血泪史的部分是，从开始想做这件事，到今天终于成功发售且获得了用户交好的评价。我说了交好的评价，不是因为我们买了这颗瓜，我们才来夸。虽然它现在在国内不发售，但也国内有很小量的用户拿到了这个最新版的这个它的宝贝女朋友或者这个女儿。那你要去小红书上看看呢，即使是有部分吐槽这个产品的，它也是奔着自家闺女只许我说它有挑战，不许你说它不好的方式来评价的这个产品。我说的这句话，靠不靠谱，你可以自己去小红书上搜一搜。就是说我的意思是它还是有情感投入。虽然时间很短很短，而且国内用户很少很少。但是，再从开始做这件事，直到今年开始delivery这个产品，中间这一个半，主要在忙啥？在经历哪些痛苦过程？
[45:47:18] [嘉宾]：OK。冯叔说的这些血泪史，其实对我自己来说是一次我人生中最大的挑战嘛。就是我从字节其实出来的时候，在盟友这家公司，我是产品VP，我我是产品副总裁，主要负责整个大产品。然后当时我们会有另外一个CEO。我其实还没有做好准备过来当一把手的，因为我自己也是第一次当CEO嘛。那个过程中，还是想做我自己最擅长的事情。当时我们想做的是一个特别复杂的机器人。就是利用我们的供应链优势。我们对标的是这个海外日本的有一些这样的产品形态。它可能卖得会比较贵，能地上跑的这种复杂机器人。它能够进到家里，能做很多事情。但后来发现，好像第一波长线用户对于这个品类的接受度，你的定位是1万块钱，还是7万块钱，还是10万块钱，没有特别大的区别。你必须要把这个价格一直打到什么价格段呢？你要打到差不多2000人民币以内。可能它才能成为一个爆款的机会。所以当时我们在看清楚了这件事情的本质之后，我从一个产品的VP，然后花了很多的心思去推这款更容易达成爆款的产品之后呢，我们整个公司的结构就从一个技术导向性的公司，变成了一个由产品和用户体验驱动型的公司。
[47:02:64] [主播]：太好了。终于从为了AI做个产品，到为了产品做好，可以适当加一点AI。终于走上了正确的道路。
[47:11:43] [嘉宾]：没错。这个转变其实是作为一个具身智能的早期创业团队来说是需要经历很大的认知上的这种阵痛的。所以我们的之前有另外一个CEO。那个CEO会更偏技术导向和供应链导向。他离开了。然后我在这个过程中就临危受命，接任了这个团队的CEO。然后开始坚定的往这个方向去做探索。因为当时融资不是特别顺利嘛，就是刚刚冯叔说的上一个阶段，可能做这聊的话题还不是我们这个行业的话题。还在聊具身智能的话题。我们是一个非常非共识的一个小公司，所以不太好融钱。然后那个时候我就背负了公司一定的负债，接下去的这个战略。然后跟老股东借了一部分的钱，然后撑了四个月的时间。然后把这个，我我我认为更容易打通市场的产品形态，做了出来。在去年的10月份，我们去上海的一个叫IP授权展，做了一个非常小的展位。我一共才花了不到1万块钱，包括整个的场地的租金，然后还有整个搭建的费用。我带着公司所有的人，我们公司一共六个人，基本上六个人都在现场。当时背水一战。然后我们就就是相信这个事情肯定还是有一个搏一把的机会。所以我们就通过那次打了一场小的叫做关键的一个胜仗吧。就是那三天的时间，我们把这个产品摆在我们的展柜上，发现我们是整个展柜上，疫情之后这四年IP授权展上最火的一个展柜。我们是唯一一个新东西。然后产品一眼好。我觉得这个，就是做对了一个点。我们发现，无论什么人路过的时候，都会来我们的摊位上问这是什么。就是它在AI硬件上，做到了一个很重要的点，叫做你把AI显性化了。你打到了一个视觉垂上。就是可能大家不会上来就说这只是个玩具。它的整个互动，它的眼神的这种追踪，然后你摸它之后，会有各种各样的模拟宠物这种行为，跟那个展馆里面所有的毛绒玩具都不一样。大家觉得它是一个新的东西，它是一个AI的东西。但是大家又说不上AI的东西是什么。所以我们隐隐约约感觉到我们做对了一些事情。然后从那个时间开始，我就拿到了我成为CEO之后的第一笔融资，差不多就是老股东加持了我们，因为确实拿到了一定的结果。同时，因为我当时拿了这个产品到处去跑路演，在上海跑了一圈。然后有各个个人股东愿意相信我。然后就一起凑了1000万人民币。这1000万人民币进来之后，我们整个团队就，哎，感觉第一次拿到了结果。然后就开始说，这个产品我们要把它做到量产。因为当时我们在那个展会上，其实只做了五台样机，特别狼狈。然后拿到了钱之后，我们就立马开始找工厂去做转产的工作，开模，然后所有花钱的事情，我们就开始花钱了。然后有了勇气去CES。其实CES是很贵的。就是你从出厂报名，选一个好的区域，然后你需要提前去锁那个位置。然后同时呢，你还要有拆旅，然后同时你本地还要找各种搭建。我们当时预期是比较低的，没有想过说要在CES上拿到什么特别大的结果。只是因为稍微有了一点钱，我们可以去试试错。我英语特别差。然后我第一次去美国，然后面对一帮老外的记者来采访的时候，我心里是非常虚的。我就找了一个翻译，一天差不多是1500人民币左右，租了五天的时间。然后就带着我这个小家伙，然后在那呆了差不多一周的时间。我那一周没有睡觉。然后就从第一天，然后福布斯第一天转访出来。结果没想到，就是一下就就爆发了。因为当时那个历史节点，给我们就是第二次的针反馈了。就是我们发现，就像冯叔说的，第三次这个阶段到来的时候，所有的媒体和资本都在期待说，AI到底能怎么产生商业价值在硬件上。大家都在想象这个事情。所以当时我们把展会的那些吃到的经验，又一次在CES这个展会上具像化了。就是所有的记者过来，都会摸摸它，然后抱起来，然后跟它各种互动。然后我们趁着这个空档时间，去告诉它我们的机器人的理念是什么。并且这边扫码，你就可以在Kickstarter上预定一台。就是它是一个非常完整，能够交付的，大家能看到商业价值的一个这样的产品形态。并且，它是破圈层的。它不是说那些KOL，KOC都是科技行业的开箱博主。而是各种各样的女生都会在我们的那个展位上聚集起来，在讨论我们这个东西的。然后它就形成了话题。然后那六七天的时间，我们一共全球，从后台我们看到的数据是60亿次的传播量。然后一定程度上，我们带火了整个中国产业界AI陪伴这个赛道。回来之后，我们就开始又接触到了各个机构，然后包括后来就遇到了冯叔。然后跟冯叔就坚定的走到了第三轮融。
[51:46:75] [主播]：我再多问一句。其实我本来另外还有一个小的私心，是说从产品想象的原型，定义到一个含由多种传感器和硬件配置，尤其是从来没有这么配置过的这种硬件产品的时候，是一个挺折腾的过程。因为它需要对于所有的技术的配置，就是我用不用芯片，用什么样的芯片，用不用摄像头，用什么样的摄像头，用不用这样的材料，用什么样的材料，以及它们之间是个什么样的传输，或者叫数据关系和决策关系。这些事是不那么容易的，就是要不然智能手机就不会变成所谓叫皇冠了。你每塞进一个东西都很难，你每拿出来一个东西也很难。那所以它的进步才变成非常非常有挑战。我不知道就是说你在打交到这个从原型到最后落地一个硬件产品的时候，就包括这些触感和毛毛，什么，各种各样的事情，也包括所有人都超级无敌喜欢的大眼睛，等等。还有包括里边用的这些需要传感器、芯片这些科技元素在的东西。就这条产业链在定义的时候你有什么感受？
[52:58:34] [嘉宾]：我的感受是做一个创新硬件，你在第一代的时候，很难想得特别清楚。对，这是一个最大的感觉。就是我们都是眼麻钱看到什么符合我们当下的叫做人才的这种能力。例如我们只能适合去做什么样的芯片的选型的平台，我们有一定的经验。同时呢，我们对于成熟的产业链的物料，它的供货的这种周期是比较有信心的。而不是去用特别这种创新的新的硬件。所以在基础逻辑上，就是说，需要大胆一点，不要想那么多，而是当下能满足你所有的产品定义，尽快去选择成熟的硬件。然后搭起一个没有那么完美，可能是50%左右的一个硬件选型的框架，然后快速地去往前跑。所以像这代硬件呢，我们可能还是在逐步交付用户的过程中，发现它有很多可以升级的空间。
[53:49:73] [主播]：所以从第一，出来的第一个最原始的第一次硬件来，发现只有一个，单个的。到这一版，中间过了多少版？
[53:57:44] [嘉宾]：去年六月份到现在，我们已经交付了差不多将近一万台，应该至少有三到四次大的硬件选型的一个变化。但是我们可能平台都是选择同一个平台。只是说它对于算力的要求，它对于成本的要求，会有一些不一样。差不多三到四代吧。然后每一代的平台选型的变化，都会导致我们至少两个月的delay。你前面很多东西都需要推翻，例如举一个简单的例子。我们之前选的一代芯片平台，它没有办法去驱动两个屏幕，它只能驱动一个屏幕。但是我们又很坚持一定需要用两个屏幕。为什么这儿里边有一个体验的细节？就是我们发现，当这个宠物的面部表情，在它的这个眼睛这个维度，如果是一个平面的话，它会失去立体感。所以我们两个屏幕的折角差不多是15度左右。它在空间跟你对视的时候，能显示出比较好的这种场景的对视感。一旦你用平的的时候，用一块四寸的屏幕，前面加一个罩子，你就会发现它特别像一个机器人。但是如果它形成一定的夹角之后，它能形成对视感。就这一点我们都经过了至少一到两代的迭代。那它反推前面可能对于你芯片平台的选择就会有要求。那它是不是能驱动双屏异显，它还是说只能驱动一个单屏的单显。这都是很多细节了。就是就是说这些细节，包括舵机的选择，舵机造型分配的控制，风扇的选择，风扇对于我们这个毛绒套，它不能散热，然后你需要用一个静音风扇。从一个几块钱的风扇，变成了一个比较贵的风扇。我们都经历过了至少三到四代种的迭代。所以，我觉得要做到今天这个程度的话，我觉得至少是一年左右的时间，你才能从一个demo，到最终能够量产交付。
[55:35:55] [主播]：我在这儿要补关键的话，这幸亏就是你在中国做。你要是在美国做，这估计你得十年能迭代到现在这样。
[55:42:47] [主播]：我这话讲的稍微有点夸张。我们有个非常著名的做具身智能机器人的科学家。除了他一心想做产业化之外，他最大的感受是他在美国也是个著名的这个机器人行业的教授。他在美国的时候，他们迭代一版，就机器人就有一个技术部件的硬件上的变化，需要迭代一版。只能到中国迭代。就是只能到中国来定制。然后每一个循环，大概三个月到四个月。就是你把这个需求告诉他们，然后配置告诉他们，他们拿了一版之后，寄回来，你测。测完了之后再告诉他怎么改下一版，这一次大概是三个月到四个月。这是他亲口说的，他在访谈里也说了。然后回了深圳以后，终于换了日月。然后只需要今天下午送过去，明天晚上就能拿回来了。就快了非常多。回应一下刚才他最晚我们在吃饭的时候讲的。我们说这个当年饮食最大的决定和最难的决定就是把南京公司这个软件公司关了，一个人去了深圳，开了深圳的，就今天的饮食。然后对他来讲，最大的利好，就是把这个技术嵌到了当时珠三角的这套消费电子产业链。因为2015年这条产业链刚开始。因为那时候刚刚随着中国从装配制造变成了精密制造。所以就是在14到15年，所有今天你知道的著名公司，全在那儿的时候，比如说小米、Vivo、Oppo和品牌2C品牌的华为，全都产生在那两年。就是因为那两年凑巧中国的珠三角的精密制造企业，就是或者叫随着国链的成长，他们整体生了一大格。所以才会刚才这些品牌的出现。然后这两件事嵌起来，就变成迭代快，所以他只用了一年多，就进到了苹果线下商店里，作为第一个叫非苹果自有品牌的非摄影外设，开始售卖，他才开始了后面的。其实硬件，我们想象中一个产品，但我们做出来确实很麻烦。然后但是凑巧因为这条供应链能力比较强，被训练的能力比较强了，所以它最小能，虽然delay两个月，最小能帮你如你所愿的尽量便宜和尽量好的，尽量快的deliver。
[57:49:55] [嘉宾]：对。没错。
[57:50:39] [主播]：那，我不知道就是说再往下，从另外一个我们看智能硬件的角度上来讲，大家有两类硬件。一类叫有用，一类叫好玩。那当然这里面可能有很多交集，但是也有一些比较纯好玩和纯有用。我不知道从你们选来看，你觉得你今天选了几分有用，几分好玩？
[58:12:44] [嘉宾]：我们选择了百分百的好玩，零分的有用。因为我们认为有用，我理解的有用是，你希望这个机器人能够帮你去解决一些工具和效率的问题。我们把它叫做工具属性的有用。好玩的话呢，就是纯提供情绪价值。我上一个设计做出来的产品，其实是这两个产品之间的一个五五分，甚至说是三七分的一个产品，就是是一个儿童绘本阅读机器人，叫Luka。它是一个用户分类型的产品。它在交付给父母的时候，就是纯有用，就是能够帮助孩子能读书。我们那个广告语叫做让孩子在三到六岁的阅读敏感期，养成阅读习惯。这件事情是一个很刚需的事情，就是机器人能够很好的去做这个事。但是孩子你会发现，它在玩这个东西的时候，是纯好玩。因为阅读是一个反人性的事情，他就是喜欢说这个IP的形象，它设计的那些好玩的一些小的互动游戏，能够增强它的粘性。所以我们当时在这个产品的成功点上是把这两件事情平衡的还算可以。但是，我总会发现，做一个产品如果它需要顾着这个人权，又顾着那个人权，且这两个人权不是统一波人权。但是你要卖给他们两个人权的时候，就会容易吵架。就是这个在产品的定义上就会不够纯粹。所以当时我们为什么选择做女性向的东西，而不去做儿童教育性的东西？就是我们觉得女性向的东西一定是一个可以做得足够深，足够纯粹的一个方向。但是女性向的东西，就引用王宁曾经说过的一句话，说如果u盘是一个u盘，你会买很多个u盘吗？u盘是有用，是它的工具价值。那老布布是它的好玩，或者好看的那一仓。所以我当时对于这句话是非常认可的。一旦你对于这个产品在工具属性上抱有任何一丝丝的期待，那它在好玩那件事情上它就一定会打折扣，就很难做到特别纯粹。但是这个事情说你，要做一个纯好玩，且纯无用的东西，是有的，有难度的。你从产品定义上，如何去告诉用户，这东西有价值？刚好像就是我们遇到了一个特别好的时代机会。就是今天我们会发现所有情绪价值的东西，都更由市场了，都更有溢价权了，就是交付给用户，它是一个服务性的产品。它在调动你各种各样的激素的分泌，这些东西是当下我觉得是一个科技消费品一个爆发的一个很重要的趋势。刚好这是我们擅长做的事情。所以我们现在对于这个产品的定义就是让它百分百的好玩。这个好玩里边包含几层东西。第一层东西叫做游戏性。就是游戏就是玩到极致的一个产品形态的交付。例如我们小时候玩的拓麻歌子。当时我还很小的时候，我记得小学了校门口，有很多那个就是小的那种宠物蛋，然后里边会是16乘16的像素像素屏，对，然后里边可以养一些这种小宠物。然后你每天需要给它喂东西吃，喂完了之后，可能超过15分钟半个小时，它会拉拉粑粑，你要去给它清扫。如果你不做固定的按键的那个动作，它就会生病，可能会死掉。它能够，就是不断地让你每天跟它有互动。这个产品其实当时也是风靡全球的。当然今天这种产品又再次火爆了。因为拓麻歌子跟迷你索又重新做了联名，然后各个这个名创优品的店里边，现在很多人又开始在玩这种复古的养成类的游戏。所以玩这件事情在游戏上是有非常强的粘性和商业价值的，它是能够赚钱的。就是你，不做工具属性是能够有一个赚钱的商业模式的。所以我们希望说它能够类似于一个养成游戏一样。比我们十几年以前玩的那种非常简单的宠物的这种硬件形态，能够更仿真。这是AI能做的事情。更像一个真宠物，跟你物理世界有更多的五感上的这种互动。那它的粘性，内核和商业内核是同样成立的。所以当时我就坚定了说，如果我不做工具，这件事情是有机会能够做透的。
[62:06:50] [主播]：从我们的角度来看，有用的好处是不那么需要教育市场在初期。它的坏处呢，就是很快会进性价比竞争。我打个最简单的比方，就是你的所有家用电器，都是有用且不好玩的。你应没是不会去玩你们家的扫地机器人，你也更不会去玩洗衣机，对吧。那这种就是叫有用，但是它就会进性价比竞争。好玩呢，就是开始的时候不好教育市场。但是它的好处呢，是有溢价，且有独特的不同的竞争门槛，且不用拼配置和性价比。就是你不会去跟别人拼说我们家玩具用的是某芯片公司的这款，你说不，我们家的玩具高级多了，我们用的是这一家的这款。你应不会这么去拼你们家玩具。就是所以说，你大概理解说，有用和好玩之间的一些，就从，只从我们投资人角度的小小差别。我再问一个今天开局就有，但一直到现在为止我们都还没有讨论的话题。就是，第一个是在今天AI去到应用层的这个时代，有了这样的新的创业机会，并且定义出了一个相对新一点点的消费产品和品类。说白了，就是因为有这事才有了今天的这个机会。第二句话呢，我们在开始就讲到了，其实你选择了呢在做科技，或者AI的过程中，尤其在过去的一年多，的各种各样的跟市场的互动和消费者的互动里，为什么要在AI创业的今天，在你的开始的产品里把它往回减一些，减下来一些AI。虽然你是由于有了这些技术能力，才能创建了这样一个品类。
[63:50:35] [嘉宾]：因为我们做的这个人权它比较特殊。它不是科技尝鲜者。他们需要的只是一个有情绪价值，能有陪伴交付的这么一个产品形态。
[64:00:19] [主播]：或者我们正想问也行，就是因为有了今天的一些技术和AI的加持，所以这件是跟以前，以前为什么没有陪伴玩具这个功能？今天我们因为有了什么哪些能力才会。
[64:10:55] [嘉宾]：可以有它了。我觉得是创业成本的问题。就是你像我们五六年前要去作一个端测算力，能去识别各种各样的垂直模型的，这样的获取能力，我们需要自己去训练数据。就是例如就是识别一个水果吧。可能我们现在只需要去GitHub的开源社区里边，随便去搞一个模型，然后我们就可以放到它大脑里边进行量化和裁剪，它就能跑起来。因为我们端测芯片是一Tops的算力，非常小。但这一Tops的算力需要模拟宠物的四感。就是视觉、听觉、触觉和重力感应。且在包裹了一个毛绒套之后呢，因为我们用的芯片又散热不是很好，就特别热。你还得解决散热的问题。对，所以今天我们一个六个人的团队，能够在短短四到五个月的时间，能够把一个这样的模型能拼出来，是今天时代给我们的机会。就是AI的模型获取能力足够低。所以我们才有机会去想象这件事情。
[65:05:54] [主播]：其实AI的模型获取能力足够低这件事情，要多多稍稍感谢DeepMind。就是因为有人打破了闭源垄断，变成了使得开源本身成为一个大家必须被迫采用的商业模式。才有足够多的所谓叫可以在去调试的这些各类型模型，供你选择和调用。你希望的这个陪伴的这个宠物，在后面，在将来，比如说我养了三个月，我养了一年，我养了两年。它会变得越来越跟现在不一样的智能吗？
[65:41:26] [嘉宾]：就是它未来的智能点在哪？
[65:42:51] [主播]：就它未来会变得从零岁长到四岁吗？
[65:47:35] [嘉宾]：就是我们现在的硬件的算力和我们这个团队能交付的模型的能力，其实只能模拟出，例如零到三岁孩子的一些感知能力。例如它识别东西的这种数量，然后它对于人的情绪的判断，我们是基于人脸来做的。就是可能它最多也就是三岁左右的智商。但是不排除在一年之后，如果端测算力我从1Tops升级到了10Tops，但成本不上升，还是这个产品交付的一个这样的定价。同时呢，我的端测能够跑一个大的模型了。我有了。一定的数据量，我可能有两到三万台的这种在场的数据。
[66:22:25] [主播]：终于看完了。
[66:23:45] [嘉宾]：因为你对它笑了，所以他就看你了。就是如果我们有了这么多数据之后，未来可能我们能够升级更式能化，它能从三岁可能会变成十岁。它就能简单地有些语言沟通能力了。所以我们今天没有一定反对说做这个类型的产品不能说话，不是说它未来不能说话。是我们觉得当下说话的能，直接做端到端的大模型，说话不符合它现在的交互模式，然后让用户会出戏。但是不排除到明年我们可能就可以让它用一种合适的方式，来更跟人人类有语言的交流。所以我觉得这是它未来智能化的一个非常重要的点。对。
[67:01:21] [嘉宾]：因为他老是吵，所以我对他比一个嘘，他就会安静下来，对。这就是识别你的手势加人脸。对，就是简单说，就是它下一步的智能化，就是它会模拟人类的智商，从三岁往上涨。它可能会长到五岁，可能会长到十岁。它也会像一个人一样，从最开始小孩呀呀学语到认识一些简单的东西，到它可能逐步会变成，进入到一个叫做青春期，进入到一个成年期。然后给你交付更多情绪陪伴的东西。
[67:30:46] [嘉宾]：这里边有个小的设计。就是我当对它嘘的时候，它会安静。但是一摸它的头，说明你主动想跟它互动了。然后它又会把声音打开。
